ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,TORNTPHARM,10m,4851.50,4854.00,4848.00,4850.50,2578,1786699267712-0,md:candles:10m,1786699276624
1786699799999,TORNTPHARM,10m,4851.50,4853.50,4847.00,4850.00,8951,1786699866181-0,md:candles:10m,1786699876284
1786700399999,TORNTPHARM,10m,4845.50,4850.50,4842.00,4850.50,12327,1786700468376-0,md:candles:10m,1786700471301
1786700999999,TORNTPHARM,10m,4850.00,4867.00,4843.00,4847.00,8523,1786701071892-0,md:candles:10m,1786701080910
1786702803000,TORNTPHARM,1d,4851.50,4867.00,4833.00,4833.00,198129,1786702808741-0,md:candles:1d,1786702818543
1786698959999,TORNTPHARM,1m,4851.50,4853.00,4851.00,4852.00,173,1786698967702-0,md:candles:1m,1786698974630
1786699019999,TORNTPHARM,1m,4852.50,4852.50,4848.00,4851.50,491,1786699025230-0,md:candles:1m,1786699028548
1786699079999,TORNTPHARM,1m,4849.50,4854.00,4849.50,4853.50,563,1786699087619-0,md:candles:1m,1786699094422
1786699139999,TORNTPHARM,1m,4851.50,4853.00,4851.50,4852.50,548,1786699148177-0,md:candles:1m,1786699158101
1786699199999,TORNTPHARM,1m,4852.00,4852.50,4850.50,4850.50,803,1786699208673-0,md:candles:1m,1786699221468
1786699259999,TORNTPHARM,1m,4851.50,4852.00,4847.50,4848.50,743,1786699267709-0,md:candles:1m,1786699273120
1786699319999,TORNTPHARM,1m,4849.00,4851.50,4847.00,4850.00,2068,1786699327283-0,md:candles:1m,1786699339124
1786699379999,TORNTPHARM,1m,4850.50,4851.00,4848.00,4848.50,819,1786699387093-0,md:candles:1m,1786699391745
1786699439999,TORNTPHARM,1m,4850.00,4850.00,4848.50,4850.00,297,1786699448928-0,md:candles:1m,1786699457822
1786699499999,TORNTPHARM,1m,4850.00,4850.00,4848.00,4850.00,1362,1786699507668-0,md:candles:1m,1786699511111
1786699559999,TORNTPHARM,1m,4850.00,4851.50,4850.00,4851.50,325,1786699569920-0,md:candles:1m,1786699576085
1786699619999,TORNTPHARM,1m,4851.00,4851.50,4851.00,4851.50,808,1786699626925-0,md:candles:1m,1786699627296
1786699679999,TORNTPHARM,1m,4850.00,4852.00,4850.00,4851.00,468,1786699689969-0,md:candles:1m,1786699701410
1786699739999,TORNTPHARM,1m,4850.00,4853.50,4850.00,4852.00,1242,1786699750796-0,md:candles:1m,1786699754023
1786699799999,TORNTPHARM,1m,4852.00,4853.50,4850.00,4850.00,819,1786699809164-0,md:candles:1m,1786699821286
1786699859999,TORNTPHARM,1m,4845.50,4846.00,4842.00,4844.50,1710,1786699866134-0,md:candles:1m,1786699871843
1786699919999,TORNTPHARM,1m,4845.00,4849.00,4845.00,4848.00,1138,1786699930962-0,md:candles:1m,1786699936026
