ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,TORNTPOWER,10m,1308.50,1309.00,1307.40,1308.00,925,1786699267313-0,md:candles:10m,1786699276624
1786699799999,TORNTPOWER,10m,1308.10,1309.50,1308.10,1309.00,2299,1786699866157-0,md:candles:10m,1786699876284
1786700399999,TORNTPOWER,10m,1309.30,1309.50,1308.00,1309.20,8458,1786700468029-0,md:candles:10m,1786700471301
1786700999999,TORNTPOWER,10m,1309.50,1309.60,1308.50,1309.40,4987,1786701069597-0,md:candles:10m,1786701070102
1786701599999,TORNTPOWER,10m,1309.40,1309.90,1308.00,1308.00,5785,1786701702801-0,md:candles:10m,1786701708808
1786702199999,TORNTPOWER,10m,1309.50,1309.50,1309.10,1309.10,1,1786702868905-0,md:candles:10m,1786702875014
1786701600000,TORNTPOWER,1d,1308.50,1309.90,1307.40,1308.00,22454,1786701605811-0,md:candles:1d,1786701615808
1786698959999,TORNTPOWER,1m,1308.50,1308.60,1307.60,1308.60,111,1786698967320-0,md:candles:1m,1786698974630
1786699019999,TORNTPOWER,1m,1307.60,1308.50,1307.50,1307.50,130,1786699037355-0,md:candles:1m,1786699041361
1786699079999,TORNTPOWER,1m,1307.50,1308.20,1307.40,1308.00,419,1786699087122-0,md:candles:1m,1786699094422
1786699139999,TORNTPOWER,1m,1307.70,1309.00,1307.70,1308.00,150,1786699152648-0,md:candles:1m,1786699158101
1786699199999,TORNTPOWER,1m,1308.60,1308.80,1308.00,1308.00,115,1786699216871-0,md:candles:1m,1786699221468
1786699259999,TORNTPOWER,1m,1308.10,1309.30,1308.10,1308.80,159,1786699267308-0,md:candles:1m,1786699273120
1786699319999,TORNTPOWER,1m,1309.20,1309.30,1308.30,1308.60,182,1786699326884-0,md:candles:1m,1786699339124
1786699379999,TORNTPOWER,1m,1308.60,1309.40,1308.60,1308.70,175,1786699407558-0,md:candles:1m,1786699415556
1786699439999,TORNTPOWER,1m,1308.70,1309.50,1308.60,1308.60,221,1786699466708-0,md:candles:1m,1786699470714
1786699499999,TORNTPOWER,1m,1308.60,1308.60,1308.30,1308.30,189,1786699507113-0,md:candles:1m,1786699511111
1786699559999,TORNTPOWER,1m,1309.10,1309.30,1308.40,1308.50,454,1786699569902-0,md:candles:1m,1786699576085
1786699619999,TORNTPOWER,1m,1309.30,1309.30,1308.40,1308.50,188,1786699626000-0,md:candles:1m,1786699627296
1786699679999,TORNTPOWER,1m,1308.60,1309.30,1308.60,1309.30,282,1786699691006-0,md:candles:1m,1786699701410
1786699739999,TORNTPOWER,1m,1309.30,1309.40,1308.80,1309.40,172,1786699749970-0,md:candles:1m,1786699754023
1786699799999,TORNTPOWER,1m,1309.00,1309.40,1309.00,1309.00,277,1786699808454-0,md:candles:1m,1786699821286
1786699859999,TORNTPOWER,1m,1309.30,1309.50,1308.10,1309.20,3224,1786699866115-0,md:candles:1m,1786699871843
1786699919999,TORNTPOWER,1m,1308.90,1309.20,1308.60,1309.10,324,1786699930444-0,md:candles:1m,1786699936026
1786699979999,TORNTPOWER,1m,1309.10,1309.30,1308.60,1309.20,282,1786699988829-0,md:candles:1m,1786699989617
1786700039999,TORNTPOWER,1m,1309.20,1309.20,1308.60,1308.60,749,1786700047171-0,md:candles:1m,1786700051805
1786700099999,TORNTPOWER,1m,1308.50,1309.50,1308.10,1308.90,256,1786700105211-0,md:candles:1m,1786700105816
1786700159999,TORNTPOWER,1m,1309.00,1309.30,1308.00,1309.30,372,1786700168099-0,md:candles:1m,1786700171522
1786700219999,TORNTPOWER,1m,1309.30,1309.40,1308.10,1308.90,810,1786700230710-0,md:candles:1m,1786700233604
1786700279999,TORNTPOWER,1m,1308.90,1308.90,1308.00,1308.80,1269,1786700285794-0,md:candles:1m,1786700286220
1786700339999,TORNTPOWER,1m,1308.40,1309.40,1308.00,1309.40,251,1786700346417-0,md:candles:1m,1786700351053
1786700399999,TORNTPOWER,1m,1308.80,1309.50,1308.50,1309.20,921,1786700406469-0,md:candles:1m,1786700412580
1786700459999,TORNTPOWER,1m,1309.50,1309.50,1308.60,1309.50,703,1786700468026-0,md:candles:1m,1786700476026
1786700519999,TORNTPOWER,1m,1309.50,1309.50,1309.00,1309.50,712,1786700529450-0,md:candles:1m,1786700529452
1786700579999,TORNTPOWER,1m,1309.50,1309.50,1309.30,1309.50,334,1786700586849-0,md:candles:1m,1786700591306
1786700639999,TORNTPOWER,1m,1309.50,1309.50,1308.50,1308.50,713,1786700647166-0,md:candles:1m,1786700653590
1786700699999,TORNTPOWER,1m,1309.40,1309.50,1309.00,1309.50,206,1786700709846-0,md:candles:1m,1786700715149
1786700759999,TORNTPOWER,1m,1309.50,1309.50,1309.20,1309.50,471,1786700766543-0,md:candles:1m,1786700777439
