ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,TRENT,10m,3001.80,3004.60,3000.30,3004.10,21453,1786699266369-0,md:candles:10m,1786699276624
1786699799999,TRENT,10m,3004.10,3004.60,2999.10,2999.90,258853,1786699869844-0,md:candles:10m,1786699876284
1786700399999,TRENT,10m,3000.00,3000.00,2986.00,2988.00,203559,1786700466431-0,md:candles:10m,1786700471301
1786700999999,TRENT,10m,2986.60,2995.00,2981.90,2992.00,32574,1786701070091-0,md:candles:10m,1786701070102
1786701599999,TRENT,10m,2992.00,2992.00,2978.00,2978.00,1645005,1786702883839-0,md:candles:10m,1786702885431
1786702801000,TRENT,1d,3001.80,3004.60,2978.00,2978.00,2161444,1786702807128-0,md:candles:1d,1786702807233
1786698959999,TRENT,1m,3001.80,3003.30,3001.70,3002.20,1551,1786698965209-0,md:candles:1m,1786698974630
1786699019999,TRENT,1m,3002.10,3003.40,3000.30,3000.30,10252,1786699025315-0,md:candles:1m,1786699028548
1786699079999,TRENT,1m,3000.30,3003.40,3000.30,3002.40,3149,1786699085593-0,md:candles:1m,1786699094422
1786699139999,TRENT,1m,3002.10,3004.40,3001.00,3003.10,4931,1786699146017-0,md:candles:1m,1786699146984
1786699199999,TRENT,1m,3004.00,3004.60,3003.30,3004.10,1570,1786699205468-0,md:candles:1m,1786699208603
1786699259999,TRENT,1m,3004.10,3004.60,3000.00,3000.00,5761,1786699266357-0,md:candles:1m,1786699273120
1786699319999,TRENT,1m,3000.00,3004.40,3000.00,3003.00,4816,1786699325868-0,md:candles:1m,1786699326703
1786699379999,TRENT,1m,3003.00,3003.90,3002.00,3002.70,1356,1786699385487-0,md:candles:1m,1786699391745
1786699439999,TRENT,1m,3002.70,3003.90,3002.40,3003.40,647,1786699447299-0,md:candles:1m,1786699457822
1786699499999,TRENT,1m,3002.70,3003.90,3001.80,3001.80,102721,1786699505668-0,md:candles:1m,1786699511111
1786699559999,TRENT,1m,3001.90,3003.00,3000.00,3002.00,26489,1786699565897-0,md:candles:1m,1786699576085
1786699619999,TRENT,1m,3002.10,3002.10,3000.90,3000.90,1719,1786699625821-0,md:candles:1m,1786699627296
1786699679999,TRENT,1m,3000.90,3000.90,2999.50,2999.70,13295,1786699688960-0,md:candles:1m,1786699689702
1786699739999,TRENT,1m,3000.00,3001.20,2999.10,3000.00,99287,1786699745304-0,md:candles:1m,1786699754023
1786699799999,TRENT,1m,2999.70,3000.00,2999.70,2999.90,2762,1786699806956-0,md:candles:1m,1786699807941
1786699859999,TRENT,1m,3000.00,3000.00,2993.50,2997.10,7241,1786699869841-0,md:candles:1m,1786699871843
1786699919999,TRENT,1m,2996.50,2996.70,2993.10,2994.00,2823,1786699926164-0,md:candles:1m,1786699936026
1786699979999,TRENT,1m,2994.00,2995.70,2993.00,2995.70,2701,1786699987532-0,md:candles:1m,1786699989617
1786700039999,TRENT,1m,2993.10,2995.20,2992.40,2993.50,81469,1786700045215-0,md:candles:1m,1786700051805
1786700099999,TRENT,1m,2993.10,2993.50,2993.00,2993.50,1067,1786700108193-0,md:candles:1m,1786700118244
1786700159999,TRENT,1m,2993.00,2993.60,2988.10,2993.00,13803,1786700166969-0,md:candles:1m,1786700171522
1786700219999,TRENT,1m,2992.10,2992.60,2988.00,2988.00,80270,1786700225752-0,md:candles:1m,1786700233604
1786700279999,TRENT,1m,2988.30,2988.60,2987.00,2987.70,3174,1786700286220-0,md:candles:1m,1786700286220
1786700339999,TRENT,1m,2987.60,2987.70,2986.00,2986.00,2400,1786700345602-0,md:candles:1m,1786700351053
1786700399999,TRENT,1m,2986.90,2989.30,2986.90,2988.00,8611,1786700410402-0,md:candles:1m,1786700412580
1786700459999,TRENT,1m,2986.60,2986.60,2985.10,2985.30,5045,1786700466427-0,md:candles:1m,1786700476026
1786700519999,TRENT,1m,2985.50,2986.50,2985.20,2985.20,2467,1786700525178-0,md:candles:1m,1786700529452
1786700579999,TRENT,1m,2985.30,2988.80,2982.00,2985.70,12098,1786700585505-0,md:candles:1m,1786700591306
1786700639999,TRENT,1m,2984.80,2988.80,2984.80,2988.00,3747,1786700645458-0,md:candles:1m,1786700653590
1786700699999,TRENT,1m,2981.90,2995.00,2981.90,2992.00,9217,1786701007788-0,md:candles:1m,1786701010481
1786701059999,TRENT,1m,2992.00,2992.00,2992.00,2992.00,9376,1786701070085-0,md:candles:1m,1786701071890
1786701119999,TRENT,1m,2992.00,2992.00,2992.00,2992.00,516,1786701132885-0,md:candles:1m,1786701137210
1786701179999,TRENT,1m,2992.00,2992.00,2992.00,2992.00,316,1786701187001-0,md:candles:1m,1786701191510
1786701239999,TRENT,1m,2992.00,2992.00,2992.00,2992.00,150,1786701247186-0,md:candles:1m,1786701248276
1786701299999,TRENT,1m,2992.00,2992.00,2992.00,2992.00,44,1786701309275-0,md:candles:1m,1786701313567
1786701359999,TRENT,1m,2992.00,2992.00,2992.00,2992.00,103,1786701375563-0,md:candles:1m,1786701379364
1786701419999,TRENT,1m,2992.00,2992.00,2992.00,2992.00,19,1786701434883-0,md:candles:1m,1786701443578
1786701479999,TRENT,1m,2992.00,2992.00,2992.00,2992.00,27,1786701520794-0,md:candles:1m,1786701529772
1786701539999,TRENT,1m,2978.00,2978.00,2978.00,2978.00,1634454,1786702807126-0,md:candles:1m,1786702808525
1786702859999,TRENT,1m,2978.00,2978.00,2978.00,2978.00,1,1786702883833-0,md:candles:1m,1786702884923
1786702919999,TRENT,1m,2978.00,2978.00,2978.00,2978.00,5,1786703018870-0,md:candles:1m,1786703021767
1786703039999,TRENT,1m,2978.00,2978.00,2978.00,2978.00,10,1786703341134-0,md:candles:1m,1786703348029
1786699799999,TRENT,30m,3001.80,3004.60,2999.10,2999.90,280306,1786699869846-0,md:candles:30m,1786699872287
1786701599999,TRENT,30m,3000.00,3000.00,2978.00,2978.00,1881138,1786702883840-0,md:candles:30m,1786702894033
1786699199999,TRENT,5m,3001.80,3004.60,3000.30,3004.10,21453,1786699266367-0,md:candles:5m,1786699276624
1786699499999,TRENT,5m,3004.10,3004.60,3000.00,3001.80,115301,1786699565899-0,md:candles:5m,1786699570970
1786699799999,TRENT,5m,3001.90,3003.00,2999.10,2999.90,143552,1786699869843-0,md:candles:5m,1786699880291
1786700099999,TRENT,5m,3000.00,3000.00,2992.40,2993.50,95301,1786700166971-0,md:candles:5m,1786700170829
1786700399999,TRENT,5m,2993.00,2993.60,2986.00,2988.00,108258,1786700466429-0,md:candles:5m,1786700471362
1786700699999,TRENT,5m,2986.60,2995.00,2981.90,2992.00,32574,1786701070089-0,md:candles:5m,1786701080800
1786701299999,TRENT,5m,2992.00,2992.00,2992.00,2992.00,10402,1786701375566-0,md:candles:5m,1786701379364
1786701599999,TRENT,5m,2992.00,2992.00,2978.00,2978.00,1634603,1786702883837-0,md:candles:5m,1786702884923
