ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,TVSMOTOR,10m,4327.70,4328.20,4323.10,4325.90,3345,1786699265670-0,md:candles:10m,1786699276624
1786699799999,TVSMOTOR,10m,4326.00,4327.50,4321.90,4324.10,14198,1786699869458-0,md:candles:10m,1786699876284
1786700399999,TVSMOTOR,10m,4324.10,4331.30,4318.70,4323.10,27178,1786700465497-0,md:candles:10m,1786700471301
1786700999999,TVSMOTOR,10m,4322.70,4323.00,4314.50,4314.50,10939,1786701076199-0,md:candles:10m,1786701080910
1786701599999,TVSMOTOR,10m,4314.50,4314.50,4307.00,4307.00,557464,1786703079149-0,md:candles:10m,1786703079948
1786702801000,TVSMOTOR,1d,4327.70,4331.30,4307.00,4307.00,613124,1786702806837-0,md:candles:1d,1786702807233
1786698959999,TVSMOTOR,1m,4327.70,4327.70,4324.80,4326.90,642,1786698965322-0,md:candles:1m,1786698974630
1786699019999,TVSMOTOR,1m,4326.70,4328.20,4325.10,4326.00,623,1786699025421-0,md:candles:1m,1786699028548
1786699079999,TVSMOTOR,1m,4325.80,4326.60,4323.10,4323.40,915,1786699085698-0,md:candles:1m,1786699094422
1786699139999,TVSMOTOR,1m,4324.50,4326.20,4323.60,4326.00,395,1786699145806-0,md:candles:1m,1786699146984
1786699199999,TVSMOTOR,1m,4325.90,4326.00,4324.60,4325.90,770,1786699206895-0,md:candles:1m,1786699208603
1786699259999,TVSMOTOR,1m,4326.00,4326.00,4323.40,4325.20,837,1786699265647-0,md:candles:1m,1786699273120
1786699319999,TVSMOTOR,1m,4324.60,4325.80,4324.60,4325.30,747,1786699325729-0,md:candles:1m,1786699326703
1786699379999,TVSMOTOR,1m,4325.30,4326.50,4324.70,4326.10,1017,1786699388358-0,md:candles:1m,1786699391745
1786699439999,TVSMOTOR,1m,4327.50,4327.50,4323.40,4324.90,3338,1786699445468-0,md:candles:1m,1786699445600
1786699499999,TVSMOTOR,1m,4324.50,4324.90,4322.00,4322.00,1265,1786699505476-0,md:candles:1m,1786699511111
1786699559999,TVSMOTOR,1m,4321.90,4323.80,4321.90,4323.80,1259,1786699568897-0,md:candles:1m,1786699576085
1786699619999,TVSMOTOR,1m,4323.80,4324.10,4323.10,4323.60,940,1786699625797-0,md:candles:1m,1786699627296
1786699679999,TVSMOTOR,1m,4323.50,4325.90,4322.90,4323.90,2831,1786699687993-0,md:candles:1m,1786699689702
1786699739999,TVSMOTOR,1m,4324.20,4325.40,4322.60,4323.80,1521,1786699745309-0,md:candles:1m,1786699754023
1786699799999,TVSMOTOR,1m,4322.40,4324.20,4322.40,4324.10,443,1786699806668-0,md:candles:1m,1786699807941
1786699859999,TVSMOTOR,1m,4324.10,4326.00,4322.40,4325.30,4321,1786699869447-0,md:candles:1m,1786699871843
1786699919999,TVSMOTOR,1m,4327.60,4328.00,4324.90,4327.90,2494,1786699926166-0,md:candles:1m,1786699936026
1786699979999,TVSMOTOR,1m,4327.90,4329.30,4327.90,4328.80,2517,1786699986068-0,md:candles:1m,1786699989617
1786700039999,TVSMOTOR,1m,4329.90,4331.30,4327.80,4328.90,2332,1786700046083-0,md:candles:1m,1786700051805
1786700099999,TVSMOTOR,1m,4328.70,4329.50,4326.10,4328.40,3946,1786700105771-0,md:candles:1m,1786700105816
1786700159999,TVSMOTOR,1m,4329.20,4329.20,4325.90,4327.40,2744,1786700166564-0,md:candles:1m,1786700171522
1786700219999,TVSMOTOR,1m,4327.30,4327.40,4325.00,4325.00,3226,1786700225308-0,md:candles:1m,1786700233604
1786700279999,TVSMOTOR,1m,4325.50,4325.60,4321.40,4322.90,2605,1786700291020-0,md:candles:1m,1786700298079
1786700339999,TVSMOTOR,1m,4322.40,4323.00,4318.70,4321.80,1657,1786700345553-0,md:candles:1m,1786700351053
1786700399999,TVSMOTOR,1m,4322.30,4324.60,4321.20,4323.10,1336,1786700405360-0,md:candles:1m,1786700412580
1786700459999,TVSMOTOR,1m,4322.70,4323.00,4318.70,4319.00,2233,1786700465453-0,md:candles:1m,1786700476026
1786700519999,TVSMOTOR,1m,4317.00,4319.80,4314.50,4318.10,4021,1786700527546-0,md:candles:1m,1786700529452
1786700579999,TVSMOTOR,1m,4318.20,4320.90,4318.00,4319.00,2378,1786700590421-0,md:candles:1m,1786700591306
1786700639999,TVSMOTOR,1m,4319.40,4319.40,4315.00,4317.50,1523,1786700645639-0,md:candles:1m,1786700653590
1786700699999,TVSMOTOR,1m,4316.10,4316.10,4314.50,4314.50,777,1786700708257-0,md:candles:1m,1786700715149
1786700759999,TVSMOTOR,1m,4314.50,4314.50,4314.50,4314.50,7,1786701007390-0,md:candles:1m,1786701010481
1786701059999,TVSMOTOR,1m,4314.50,4314.50,4314.50,4314.50,7327,1786701076196-0,md:candles:1m,1786701082805
1786701119999,TVSMOTOR,1m,4314.50,4314.50,4314.50,4314.50,111,1786701126461-0,md:candles:1m,1786701126761
1786701179999,TVSMOTOR,1m,4314.50,4314.50,4314.50,4314.50,118,1786701186782-0,md:candles:1m,1786701191510
1786701239999,TVSMOTOR,1m,4314.50,4314.50,4314.50,4314.50,63,1786701246881-0,md:candles:1m,1786701248276
1786701299999,TVSMOTOR,1m,4314.50,4314.50,4314.50,4314.50,33,1786701308983-0,md:candles:1m,1786701313567
1786701359999,TVSMOTOR,1m,4314.50,4314.50,4314.50,4314.50,299,1786701381698-0,md:candles:1m,1786701390103
1786701419999,TVSMOTOR,1m,4314.50,4314.50,4314.50,4314.50,27,1786701441193-0,md:candles:1m,1786701443578
1786701479999,TVSMOTOR,1m,4314.50,4314.50,4314.50,4314.50,107,1786701490867-0,md:candles:1m,1786701496799
1786701539999,TVSMOTOR,1m,4314.50,4314.50,4307.00,4307.00,549379,1786702806835-0,md:candles:1m,1786702808525
1786702859999,TVSMOTOR,1m,4307.00,4307.00,4307.00,4307.00,47,1786703079146-0,md:candles:1m,1786703087656
1786703099999,TVSMOTOR,1m,4307.00,4307.00,4307.00,4307.00,1,1786703171070-0,md:candles:1m,1786703173539
1786703219999,TVSMOTOR,1m,4307.00,4307.00,4307.00,4307.00,25,1786703232401-0,md:candles:1m,1786703239900
1786699799999,TVSMOTOR,30m,4327.70,4328.20,4321.90,4324.10,17543,1786699869458-0,md:candles:30m,1786699872287
1786701599999,TVSMOTOR,30m,4324.10,4331.30,4307.00,4307.00,595581,1786703079150-0,md:candles:30m,1786703087954
1786699199999,TVSMOTOR,5m,4327.70,4328.20,4323.10,4325.90,3345,1786699265668-0,md:candles:5m,1786699276624
1786699499999,TVSMOTOR,5m,4326.00,4327.50,4322.00,4322.00,7204,1786699568909-0,md:candles:5m,1786699570970
1786699799999,TVSMOTOR,5m,4321.90,4325.90,4321.90,4324.10,6994,1786699869456-0,md:candles:5m,1786699880291
1786700099999,TVSMOTOR,5m,4324.10,4331.30,4322.40,4328.40,15610,1786700166566-0,md:candles:5m,1786700170829
1786700399999,TVSMOTOR,5m,4329.20,4329.20,4318.70,4323.10,11568,1786700465495-0,md:candles:5m,1786700471362
1786700699999,TVSMOTOR,5m,4322.70,4323.00,4314.50,4314.50,10932,1786701007393-0,md:candles:5m,1786701013188
1786700999999,TVSMOTOR,5m,4314.50,4314.50,4314.50,4314.50,7,1786701076197-0,md:candles:5m,1786701080800
1786701299999,TVSMOTOR,5m,4314.50,4314.50,4314.50,4314.50,7652,1786701381701-0,md:candles:5m,1786701390103
1786701599999,TVSMOTOR,5m,4314.50,4314.50,4307.00,4307.00,549812,1786703079148-0,md:candles:5m,1786703079948
1786703099999,TVSMOTOR,5m,4307.00,4307.00,4307.00,4307.00,48,1786703232402-0,md:candles:5m,1786703240202
