ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,ULTRACEMCO,10m,11645.00,11649.00,11636.00,11637.00,7532,1786699266284-0,md:candles:10m,1786699276624
1786699799999,ULTRACEMCO,10m,11638.00,11653.00,11637.00,11648.00,19405,1786699865440-0,md:candles:10m,1786699876284
1786700399999,ULTRACEMCO,10m,11653.00,11655.00,11630.00,11630.00,15744,1786700465511-0,md:candles:10m,1786700471301
1786700999999,ULTRACEMCO,10m,11639.00,11648.00,11612.00,11620.00,6988,1786701069886-0,md:candles:10m,1786701070102
1786701599999,ULTRACEMCO,10m,11620.00,11620.00,11619.00,11619.00,196748,1786702886131-0,md:candles:10m,1786702895644
1786702801000,ULTRACEMCO,1d,11645.00,11655.00,11612.00,11619.00,246417,1786702806942-0,md:candles:1d,1786702807233
1786698959999,ULTRACEMCO,1m,11645.00,11649.00,11645.00,11648.00,194,1786698965924-0,md:candles:1m,1786698974630
1786699019999,ULTRACEMCO,1m,11645.00,11645.00,11641.00,11641.00,209,1786699026986-0,md:candles:1m,1786699028548
1786699079999,ULTRACEMCO,1m,11641.00,11642.00,11639.00,11639.00,191,1786699088422-0,md:candles:1m,1786699094422
1786699139999,ULTRACEMCO,1m,11640.00,11644.00,11639.00,11642.00,4751,1786699145904-0,md:candles:1m,1786699146984
1786699199999,ULTRACEMCO,1m,11639.00,11641.00,11636.00,11637.00,2187,1786699206600-0,md:candles:1m,1786699208603
1786699259999,ULTRACEMCO,1m,11638.00,11640.00,11637.00,11640.00,548,1786699266269-0,md:candles:1m,1786699273120
1786699319999,ULTRACEMCO,1m,11637.00,11645.00,11637.00,11640.00,1581,1786699325482-0,md:candles:1m,1786699326703
1786699379999,ULTRACEMCO,1m,11640.00,11644.00,11639.00,11640.00,1187,1786699385594-0,md:candles:1m,1786699391745
1786699439999,ULTRACEMCO,1m,11642.00,11653.00,11640.00,11645.00,8485,1786699447122-0,md:candles:1m,1786699457822
1786699499999,ULTRACEMCO,1m,11641.00,11649.00,11641.00,11647.00,1035,1786699505471-0,md:candles:1m,1786699511111
1786699559999,ULTRACEMCO,1m,11647.00,11649.00,11646.00,11647.00,408,1786699568900-0,md:candles:1m,1786699576085
1786699619999,ULTRACEMCO,1m,11647.00,11651.00,11647.00,11651.00,876,1786699628313-0,md:candles:1m,1786699639246
1786699679999,ULTRACEMCO,1m,11648.00,11651.00,11647.00,11650.00,1030,1786699685582-0,md:candles:1m,1786699689702
1786699739999,ULTRACEMCO,1m,11650.00,11650.00,11647.00,11648.00,4022,1786699745478-0,md:candles:1m,1786699754023
1786699799999,ULTRACEMCO,1m,11648.00,11649.00,11647.00,11648.00,233,1786699806024-0,md:candles:1m,1786699807941
1786699859999,ULTRACEMCO,1m,11653.00,11655.00,11648.00,11652.00,2545,1786699865435-0,md:candles:1m,1786699871843
1786699919999,ULTRACEMCO,1m,11651.00,11653.00,11651.00,11651.00,674,1786699925421-0,md:candles:1m,1786699925422
1786699979999,ULTRACEMCO,1m,11652.00,11652.00,11648.00,11648.00,1221,1786699985532-0,md:candles:1m,1786699989617
1786700039999,ULTRACEMCO,1m,11649.00,11651.00,11648.00,11651.00,531,1786700045709-0,md:candles:1m,1786700051805
1786700099999,ULTRACEMCO,1m,11651.00,11651.00,11647.00,11648.00,603,1786700110546-0,md:candles:1m,1786700118244
1786700159999,ULTRACEMCO,1m,11647.00,11647.00,11640.00,11642.00,3278,1786700166578-0,md:candles:1m,1786700171522
1786700219999,ULTRACEMCO,1m,11642.00,11642.00,11637.00,11641.00,825,1786700225316-0,md:candles:1m,1786700233604
1786700279999,ULTRACEMCO,1m,11640.00,11643.00,11636.00,11642.00,2045,1786700291083-0,md:candles:1m,1786700298079
1786700339999,ULTRACEMCO,1m,11644.00,11644.00,11642.00,11642.00,1345,1786700345570-0,md:candles:1m,1786700351053
1786700399999,ULTRACEMCO,1m,11643.00,11643.00,11630.00,11630.00,2677,1786700410385-0,md:candles:1m,1786700412580
1786700459999,ULTRACEMCO,1m,11639.00,11640.00,11630.00,11631.00,2070,1786700465465-0,md:candles:1m,1786700476026
1786700519999,ULTRACEMCO,1m,11632.00,11637.00,11628.00,11636.00,1516,1786700527591-0,md:candles:1m,1786700529452
1786700579999,ULTRACEMCO,1m,11636.00,11640.00,11630.00,11634.00,1718,1786700585178-0,md:candles:1m,1786700591306
1786700639999,ULTRACEMCO,1m,11631.00,11639.00,11631.00,11637.00,501,1786700645695-0,md:candles:1m,1786700653590
1786700699999,ULTRACEMCO,1m,11648.00,11648.00,11612.00,11648.00,1175,1786700708353-0,md:candles:1m,1786700715149
1786700759999,ULTRACEMCO,1m,11620.00,11620.00,11620.00,11620.00,8,1786701007521-0,md:candles:1m,1786701010481
1786701059999,ULTRACEMCO,1m,11620.00,11620.00,11620.00,11620.00,2171,1786701069882-0,md:candles:1m,1786701071890
1786701119999,ULTRACEMCO,1m,11620.00,11620.00,11620.00,11620.00,12,1786701132827-0,md:candles:1m,1786701137210
1786701179999,ULTRACEMCO,1m,11620.00,11620.00,11620.00,11620.00,6,1786701210847-0,md:candles:1m,1786701215027
1786701239999,ULTRACEMCO,1m,11620.00,11620.00,11620.00,11620.00,5,1786701297057-0,md:candles:1m,1786701303271
1786701299999,ULTRACEMCO,1m,11620.00,11620.00,11620.00,11620.00,0,1786701414286-0,md:candles:1m,1786701422662
1786701419999,ULTRACEMCO,1m,11620.00,11620.00,11620.00,11620.00,1,1786701427889-0,md:candles:1m,1786701432770
1786701479999,ULTRACEMCO,1m,11620.00,11620.00,11620.00,11620.00,104,1786701491154-0,md:candles:1m,1786701496799
1786701539999,ULTRACEMCO,1m,11620.00,11620.00,11619.00,11619.00,194449,1786702806938-0,md:candles:1m,1786702808525
1786702859999,ULTRACEMCO,1m,11619.00,11619.00,11619.00,11619.00,18,1786702886128-0,md:candles:1m,1786702895641
1786699799999,ULTRACEMCO,30m,11645.00,11653.00,11636.00,11648.00,26937,1786699865441-0,md:candles:30m,1786699872287
1786701599999,ULTRACEMCO,30m,11653.00,11655.00,11612.00,11619.00,219480,1786702886131-0,md:candles:30m,1786702894033
1786699199999,ULTRACEMCO,5m,11645.00,11649.00,11636.00,11637.00,7532,1786699266282-0,md:candles:5m,1786699276624
1786699499999,ULTRACEMCO,5m,11638.00,11653.00,11637.00,11647.00,12836,1786699568912-0,md:candles:5m,1786699570970
1786699799999,ULTRACEMCO,5m,11647.00,11651.00,11646.00,11648.00,6569,1786699865437-0,md:candles:5m,1786699868444
1786700099999,ULTRACEMCO,5m,11653.00,11655.00,11647.00,11648.00,5574,1786700166584-0,md:candles:5m,1786700170829
1786700399999,ULTRACEMCO,5m,11647.00,11647.00,11630.00,11630.00,10170,1786700465510-0,md:candles:5m,1786700471362
