ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,UNIONBANK,10m,187.73,187.73,187.50,187.57,68269,1786699266901-0,md:candles:10m,1786699276624
1786699799999,UNIONBANK,10m,187.57,187.75,187.42,187.50,309574,1786699865995-0,md:candles:10m,1786699876284
1786700399999,UNIONBANK,10m,187.59,187.89,187.30,187.43,1301589,1786700467454-0,md:candles:10m,1786700471301
1786700999999,UNIONBANK,10m,187.42,187.56,186.70,187.00,425851,1786701070989-0,md:candles:10m,1786701080910
1786701599999,UNIONBANK,10m,187.00,187.38,187.00,187.38,17097805,1786702949704-0,md:candles:10m,1786702960035
1786702802000,UNIONBANK,1d,187.73,187.89,186.70,187.38,19203088,1786702807931-0,md:candles:1d,1786702818543
1786698959999,UNIONBANK,1m,187.73,187.73,187.60,187.67,6917,1786698967049-0,md:candles:1m,1786698974630
1786699019999,UNIONBANK,1m,187.60,187.62,187.51,187.54,11253,1786699028666-0,md:candles:1m,1786699041361
1786699079999,UNIONBANK,1m,187.53,187.54,187.50,187.51,19285,1786699089558-0,md:candles:1m,1786699094422
1786699139999,UNIONBANK,1m,187.51,187.58,187.50,187.51,13248,1786699147802-0,md:candles:1m,1786699158101
1786699199999,UNIONBANK,1m,187.56,187.64,187.51,187.57,17566,1786699206769-0,md:candles:1m,1786699208603
1786699259999,UNIONBANK,1m,187.57,187.66,187.54,187.54,9746,1786699266896-0,md:candles:1m,1786699273120
1786699319999,UNIONBANK,1m,187.58,187.68,187.54,187.65,14671,1786699326604-0,md:candles:1m,1786699326703
1786699379999,UNIONBANK,1m,187.65,187.68,187.62,187.62,12764,1786699385863-0,md:candles:1m,1786699391745
1786699439999,UNIONBANK,1m,187.68,187.71,187.62,187.68,28192,1786699445819-0,md:candles:1m,1786699457822
1786699499999,UNIONBANK,1m,187.63,187.73,187.62,187.69,8008,1786699506665-0,md:candles:1m,1786699511111
1786699559999,UNIONBANK,1m,187.69,187.75,187.66,187.73,17405,1786699570162-0,md:candles:1m,1786699576085
1786699619999,UNIONBANK,1m,187.73,187.75,187.61,187.65,33408,1786699625985-0,md:candles:1m,1786699627296
1786699679999,UNIONBANK,1m,187.57,187.67,187.46,187.53,60727,1786699689015-0,md:candles:1m,1786699689702
1786699739999,UNIONBANK,1m,187.46,187.55,187.46,187.51,58180,1786699745489-0,md:candles:1m,1786699754023
1786699799999,UNIONBANK,1m,187.54,187.56,187.42,187.50,66473,1786699808163-0,md:candles:1m,1786699821286
1786699859999,UNIONBANK,1m,187.59,187.80,187.59,187.74,149048,1786699865979-0,md:candles:1m,1786699871843
1786699919999,UNIONBANK,1m,187.72,187.73,187.63,187.69,34246,1786699930048-0,md:candles:1m,1786699936026
1786699979999,UNIONBANK,1m,187.70,187.87,187.70,187.86,39754,1786699988450-0,md:candles:1m,1786699989617
1786700039999,UNIONBANK,1m,187.85,187.89,187.80,187.81,35003,1786700046090-0,md:candles:1m,1786700051805
1786700099999,UNIONBANK,1m,187.86,187.87,187.76,187.76,30133,1786700112165-0,md:candles:1m,1786700118244
1786700159999,UNIONBANK,1m,187.60,187.69,187.57,187.66,63161,1786700167608-0,md:candles:1m,1786700171522
1786700219999,UNIONBANK,1m,187.68,187.68,187.50,187.63,116843,1786700230304-0,md:candles:1m,1786700233604
1786700279999,UNIONBANK,1m,187.65,187.66,187.30,187.30,231779,1786700285301-0,md:candles:1m,1786700286220
1786700339999,UNIONBANK,1m,187.30,187.67,187.30,187.67,70129,1786700345663-0,md:candles:1m,1786700351053
1786700399999,UNIONBANK,1m,187.62,187.62,187.33,187.43,531493,1786700405787-0,md:candles:1m,1786700412580
1786700459999,UNIONBANK,1m,187.42,187.49,187.24,187.43,102477,1786700467439-0,md:candles:1m,1786700476026
1786700519999,UNIONBANK,1m,187.42,187.56,187.30,187.33,75066,1786700525885-0,md:candles:1m,1786700529452
1786700579999,UNIONBANK,1m,187.33,187.38,187.22,187.33,146739,1786700586459-0,md:candles:1m,1786700591306
1786700639999,UNIONBANK,1m,187.36,187.39,187.25,187.31,70980,1786700646762-0,md:candles:1m,1786700653590
1786700699999,UNIONBANK,1m,187.26,187.38,186.70,186.70,30567,1786700705441-0,md:candles:1m,1786700715149
1786700759999,UNIONBANK,1m,187.00,187.00,187.00,187.00,22,1786701008985-0,md:candles:1m,1786701010481
1786701059999,UNIONBANK,1m,187.00,187.00,187.00,187.00,40794,1786701070985-0,md:candles:1m,1786701071890
1786701119999,UNIONBANK,1m,187.00,187.00,187.00,187.00,1515,1786701127663-0,md:candles:1m,1786701137210
1786701179999,UNIONBANK,1m,187.00,187.00,187.00,187.00,1009,1786701187893-0,md:candles:1m,1786701191510
1786701239999,UNIONBANK,1m,187.00,187.00,187.00,187.00,6236,1786701248083-0,md:candles:1m,1786701248276
1786701299999,UNIONBANK,1m,187.00,187.00,187.00,187.00,419,1786701363840-0,md:candles:1m,1786701367943
1786701359999,UNIONBANK,1m,187.00,187.00,187.00,187.00,1111,1786701382995-0,md:candles:1m,1786701390103
1786701419999,UNIONBANK,1m,187.00,187.00,187.00,187.00,1054,1786701435887-0,md:candles:1m,1786701443578
1786701479999,UNIONBANK,1m,187.00,187.00,187.00,187.00,4365,1786701508089-0,md:candles:1m,1786701517806
1786701539999,UNIONBANK,1m,187.00,187.38,187.00,187.38,17041302,1786702807928-0,md:candles:1m,1786702808525
1786702859999,UNIONBANK,1m,187.38,187.38,187.38,187.38,377,1786702949701-0,md:candles:1m,1786702957910
1786702979999,UNIONBANK,1m,187.38,187.38,187.38,187.38,450,1786702998748-0,md:candles:1m,1786703000545
1786703039999,UNIONBANK,1m,187.38,187.38,187.38,187.38,101,1786703220196-0,md:candles:1m,1786703228996
1786703219999,UNIONBANK,1m,187.38,187.38,187.38,187.38,10,1786703331527-0,md:candles:1m,1786703337598
1786703339999,UNIONBANK,1m,187.38,187.38,187.38,187.38,5,1786703383583-0,md:candles:1m,1786703390903
1786699799999,UNIONBANK,30m,187.73,187.75,187.42,187.50,377843,1786699865996-0,md:candles:30m,1786699872287
1786701599999,UNIONBANK,30m,187.59,187.89,186.70,187.38,18825245,1786702949705-0,md:candles:30m,1786702960035
1786699199999,UNIONBANK,5m,187.73,187.73,187.50,187.57,68269,1786699266898-0,md:candles:5m,1786699276624
1786699499999,UNIONBANK,5m,187.57,187.73,187.54,187.69,73381,1786699570166-0,md:candles:5m,1786699570970
1786699799999,UNIONBANK,5m,187.69,187.75,187.42,187.50,236193,1786699865993-0,md:candles:5m,1786699868444
1786700099999,UNIONBANK,5m,187.59,187.89,187.59,187.76,288184,1786700167614-0,md:candles:5m,1786700170829
1786700399999,UNIONBANK,5m,187.60,187.69,187.30,187.43,1013405,1786700467452-0,md:candles:5m,1786700471362
1786700699999,UNIONBANK,5m,187.42,187.56,186.70,186.70,425829,1786701008986-0,md:candles:5m,1786701013188
1786700999999,UNIONBANK,5m,187.00,187.00,187.00,187.00,22,1786701070987-0,md:candles:5m,1786701080800
1786701299999,UNIONBANK,5m,187.00,187.00,187.00,187.00,49973,1786701382997-0,md:candles:5m,1786701390103
1786701599999,UNIONBANK,5m,187.00,187.38,187.00,187.38,17047832,1786702949703-0,md:candles:5m,1786702960035
1786703099999,UNIONBANK,5m,187.38,187.38,187.38,187.38,928,1786703331530-0,md:candles:5m,1786703341392
