ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,UNITDSPR,10m,1538.50,1538.70,1537.50,1537.60,2729,1786699267110-0,md:candles:10m,1786699276624
1786699799999,UNITDSPR,10m,1537.60,1539.80,1537.50,1538.80,23932,1786699871165-0,md:candles:10m,1786699876284
1786700399999,UNITDSPR,10m,1539.10,1539.30,1537.20,1537.70,25234,1786700467809-0,md:candles:10m,1786700471301
1786700999999,UNITDSPR,10m,1537.60,1537.60,1532.00,1532.20,24097,1786701077698-0,md:candles:10m,1786701080910
1786701599999,UNITDSPR,10m,1532.20,1536.00,1532.20,1536.00,599114,1786702883227-0,md:candles:10m,1786702885431
1786702803000,UNITDSPR,1d,1538.50,1539.80,1532.00,1536.00,675106,1786702808232-0,md:candles:1d,1786702818543
1786698959999,UNITDSPR,1m,1538.50,1538.70,1538.30,1538.40,803,1786698967210-0,md:candles:1m,1786698974630
1786699019999,UNITDSPR,1m,1538.00,1538.40,1537.70,1538.40,284,1786699028667-0,md:candles:1m,1786699041361
1786699079999,UNITDSPR,1m,1538.50,1538.50,1537.60,1537.60,553,1786699089740-0,md:candles:1m,1786699094422
1786699139999,UNITDSPR,1m,1537.70,1537.80,1537.50,1537.80,589,1786699147476-0,md:candles:1m,1786699158101
1786699199999,UNITDSPR,1m,1537.60,1537.80,1537.50,1537.60,500,1786699208174-0,md:candles:1m,1786699208603
1786699259999,UNITDSPR,1m,1537.60,1537.90,1537.50,1537.80,1003,1786699267101-0,md:candles:1m,1786699273120
1786699319999,UNITDSPR,1m,1537.80,1537.90,1537.50,1537.60,792,1786699326824-0,md:candles:1m,1786699339124
1786699379999,UNITDSPR,1m,1537.90,1539.50,1537.90,1539.30,11158,1786699389788-0,md:candles:1m,1786699391745
1786699439999,UNITDSPR,1m,1539.70,1539.70,1539.00,1539.00,696,1786699448376-0,md:candles:1m,1786699457822
1786699499999,UNITDSPR,1m,1539.00,1539.20,1538.60,1539.00,563,1786699507015-0,md:candles:1m,1786699511111
1786699559999,UNITDSPR,1m,1539.00,1539.40,1539.00,1539.30,944,1786699570383-0,md:candles:1m,1786699576085
1786699619999,UNITDSPR,1m,1539.30,1539.80,1538.20,1539.00,3024,1786699625995-0,md:candles:1m,1786699627296
1786699679999,UNITDSPR,1m,1538.50,1539.20,1538.30,1539.00,1680,1786699689952-0,md:candles:1m,1786699701410
1786699739999,UNITDSPR,1m,1539.20,1539.20,1538.40,1538.70,2713,1786699749962-0,md:candles:1m,1786699754023
1786699799999,UNITDSPR,1m,1538.50,1538.90,1538.40,1538.80,1359,1786699808346-0,md:candles:1m,1786699821286
1786699859999,UNITDSPR,1m,1539.10,1539.30,1538.60,1538.90,3133,1786699871160-0,md:candles:1m,1786699871843
1786699919999,UNITDSPR,1m,1539.00,1539.00,1538.60,1538.70,2919,1786699930240-0,md:candles:1m,1786699936026
1786699979999,UNITDSPR,1m,1538.80,1538.90,1538.70,1538.80,4646,1786699988736-0,md:candles:1m,1786699989617
1786700039999,UNITDSPR,1m,1538.80,1538.80,1538.60,1538.70,2057,1786700049533-0,md:candles:1m,1786700051805
1786700099999,UNITDSPR,1m,1538.70,1538.90,1538.10,1538.70,3966,1786700109163-0,md:candles:1m,1786700118244
1786700159999,UNITDSPR,1m,1538.60,1538.60,1537.60,1537.80,1627,1786700168042-0,md:candles:1m,1786700171522
1786700219999,UNITDSPR,1m,1537.60,1537.70,1537.20,1537.70,2889,1786700230600-0,md:candles:1m,1786700233604
1786700279999,UNITDSPR,1m,1537.70,1537.70,1537.50,1537.70,1169,1786700285733-0,md:candles:1m,1786700286220
1786700339999,UNITDSPR,1m,1537.60,1537.70,1537.60,1537.70,1290,1786700346378-0,md:candles:1m,1786700351053
1786700399999,UNITDSPR,1m,1537.70,1537.70,1537.60,1537.70,1538,1786700406065-0,md:candles:1m,1786700412580
1786700459999,UNITDSPR,1m,1537.60,1537.60,1535.30,1536.20,5048,1786700467806-0,md:candles:1m,1786700476026
1786700519999,UNITDSPR,1m,1536.20,1536.90,1536.00,1536.00,1641,1786700529182-0,md:candles:1m,1786700529452
1786700579999,UNITDSPR,1m,1536.00,1537.00,1535.40,1536.80,6542,1786700586662-0,md:candles:1m,1786700591306
1786700639999,UNITDSPR,1m,1536.20,1537.00,1534.90,1534.90,3121,1786700646974-0,md:candles:1m,1786700653590
1786700699999,UNITDSPR,1m,1536.00,1537.00,1532.00,1532.00,7731,1786700705457-0,md:candles:1m,1786700715149
1786700759999,UNITDSPR,1m,1532.20,1532.20,1532.20,1532.20,14,1786701009187-0,md:candles:1m,1786701010481
1786701059999,UNITDSPR,1m,1532.20,1532.20,1532.20,1532.20,6504,1786701077694-0,md:candles:1m,1786701082805
1786701119999,UNITDSPR,1m,1532.20,1532.20,1532.20,1532.20,142,1786701158435-0,md:candles:1m,1786701161014
1786701179999,UNITDSPR,1m,1532.20,1532.20,1532.20,1532.20,70,1786701188100-0,md:candles:1m,1786701191510
1786701239999,UNITDSPR,1m,1532.20,1532.20,1532.20,1532.20,23,1786701248287-0,md:candles:1m,1786701260413
1786701299999,UNITDSPR,1m,1532.20,1532.20,1532.20,1532.20,2,1786701310473-0,md:candles:1m,1786701313567
1786701359999,UNITDSPR,1m,1532.20,1532.20,1532.20,1532.20,0,1786701389708-0,md:candles:1m,1786701390103
1786701419999,UNITDSPR,1m,1532.20,1532.20,1532.20,1532.20,10,1786701429466-0,md:candles:1m,1786701432770
1786701479999,UNITDSPR,1m,1532.20,1532.20,1532.20,1532.20,525,1786701500677-0,md:candles:1m,1786701507390
1786701539999,UNITDSPR,1m,1532.20,1536.00,1532.20,1536.00,591838,1786702808231-0,md:candles:1m,1786702808525
1786702859999,UNITDSPR,1m,1536.00,1536.00,1536.00,1536.00,3,1786702883223-0,md:candles:1m,1786702884923
1786702919999,UNITDSPR,1m,1536.00,1536.00,1536.00,1536.00,74,1786703019774-0,md:candles:1m,1786703021767
