ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,UNOMINDA,10m,1240.60,1240.70,1240.00,1240.30,986,1786699267718-0,md:candles:10m,1786699276624
1786699799999,UNOMINDA,10m,1240.40,1241.20,1240.00,1240.20,4783,1786699871990-0,md:candles:10m,1786699876284
1786700399999,UNOMINDA,10m,1240.20,1240.90,1240.00,1240.50,9589,1786700468380-0,md:candles:10m,1786700471301
1786700999999,UNOMINDA,10m,1240.50,1242.00,1240.00,1240.00,9962,1786701065583-0,md:candles:10m,1786701070102
1786698959999,UNOMINDA,1m,1240.60,1240.70,1240.10,1240.70,44,1786698967707-0,md:candles:1m,1786698974630
1786699019999,UNOMINDA,1m,1240.40,1240.70,1240.40,1240.70,135,1786699029595-0,md:candles:1m,1786699041361
1786699079999,UNOMINDA,1m,1240.50,1240.50,1240.00,1240.40,364,1786699090314-0,md:candles:1m,1786699094422
1786699139999,UNOMINDA,1m,1240.40,1240.40,1240.10,1240.10,319,1786699148491-0,md:candles:1m,1786699158101
1786699199999,UNOMINDA,1m,1240.40,1240.40,1240.10,1240.30,124,1786699213156-0,md:candles:1m,1786699221468
1786699259999,UNOMINDA,1m,1240.40,1240.40,1240.30,1240.40,62,1786699267714-0,md:candles:1m,1786699273120
1786699319999,UNOMINDA,1m,1240.40,1240.40,1240.00,1240.40,1180,1786699327374-0,md:candles:1m,1786699339124
1786699379999,UNOMINDA,1m,1240.30,1240.80,1240.20,1240.50,195,1786699387095-0,md:candles:1m,1786699391745
1786699439999,UNOMINDA,1m,1241.00,1241.20,1240.30,1240.70,956,1786699448987-0,md:candles:1m,1786699457822
1786699499999,UNOMINDA,1m,1240.60,1240.80,1240.30,1240.50,50,1786699507669-0,md:candles:1m,1786699511111
1786699559999,UNOMINDA,1m,1240.50,1240.50,1240.30,1240.30,250,1786699571068-0,md:candles:1m,1786699576085
1786699619999,UNOMINDA,1m,1240.30,1240.90,1240.20,1240.50,671,1786699626927-0,md:candles:1m,1786699627296
1786699679999,UNOMINDA,1m,1240.90,1240.90,1240.20,1240.20,544,1786699689977-0,md:candles:1m,1786699701410
1786699739999,UNOMINDA,1m,1240.50,1240.50,1240.00,1240.00,435,1786699751178-0,md:candles:1m,1786699754023
1786699799999,UNOMINDA,1m,1240.40,1240.40,1240.10,1240.20,440,1786699809170-0,md:candles:1m,1786699821286
1786699859999,UNOMINDA,1m,1240.20,1240.20,1240.00,1240.20,229,1786699871985-0,md:candles:1m,1786699883310
1786699919999,UNOMINDA,1m,1240.20,1240.20,1240.00,1240.10,972,1786699931052-0,md:candles:1m,1786699936026
1786699979999,UNOMINDA,1m,1240.10,1240.20,1240.00,1240.20,575,1786699989419-0,md:candles:1m,1786699989617
1786700039999,UNOMINDA,1m,1240.20,1240.40,1240.10,1240.30,825,1786700047182-0,md:candles:1m,1786700051805
1786700099999,UNOMINDA,1m,1240.40,1240.40,1240.30,1240.40,1485,1786700105826-0,md:candles:1m,1786700118244
1786700159999,UNOMINDA,1m,1240.40,1240.70,1240.10,1240.40,1032,1786700168614-0,md:candles:1m,1786700171522
1786700219999,UNOMINDA,1m,1240.20,1240.40,1240.00,1240.40,786,1786700231347-0,md:candles:1m,1786700233604
1786700279999,UNOMINDA,1m,1240.40,1240.90,1240.30,1240.90,2052,1786700286318-0,md:candles:1m,1786700298079
1786700339999,UNOMINDA,1m,1240.80,1240.90,1240.40,1240.80,356,1786700346618-0,md:candles:1m,1786700351053
1786700399999,UNOMINDA,1m,1240.80,1240.80,1240.00,1240.50,1277,1786700406966-0,md:candles:1m,1786700412580
1786700459999,UNOMINDA,1m,1240.50,1241.30,1240.50,1241.30,1687,1786700468370-0,md:candles:1m,1786700476026
1786700519999,UNOMINDA,1m,1242.00,1242.00,1241.60,1241.90,616,1786700529980-0,md:candles:1m,1786700541067
1786700579999,UNOMINDA,1m,1241.80,1241.80,1240.10,1240.10,5907,1786700585458-0,md:candles:1m,1786700591306
1786700639999,UNOMINDA,1m,1240.60,1240.60,1240.00,1240.00,435,1786700647808-0,md:candles:1m,1786700653590
1786700699999,UNOMINDA,1m,1240.50,1240.50,1240.00,1240.00,1317,1786701010089-0,md:candles:1m,1786701010481
1786701059999,UNOMINDA,1m,1240.00,1240.00,1240.00,1240.00,538,1786701065580-0,md:candles:1m,1786701071890
1786701119999,UNOMINDA,1m,1240.00,1240.00,1240.00,1240.00,300,1786701128614-0,md:candles:1m,1786701137210
1786701179999,UNOMINDA,1m,1240.00,1240.00,1240.00,1240.00,271,1786701188893-0,md:candles:1m,1786701191510
1786701239999,UNOMINDA,1m,1240.00,1240.00,1240.00,1240.00,122,1786701249083-0,md:candles:1m,1786701260413
1786701299999,UNOMINDA,1m,1240.00,1240.00,1240.00,1240.00,59,1786701311268-0,md:candles:1m,1786701313567
1786701359999,UNOMINDA,1m,1240.00,1240.00,1240.00,1240.00,698,1786701377370-0,md:candles:1m,1786701379364
1786701419999,UNOMINDA,1m,1240.00,1240.00,1240.00,1240.00,2244,1786701436891-0,md:candles:1m,1786701443578
1786701479999,UNOMINDA,1m,1240.00,1240.00,1240.00,1240.00,30,1786701493561-0,md:candles:1m,1786701496799
1786699799999,UNOMINDA,30m,1240.60,1241.20,1240.00,1240.20,5769,1786699871992-0,md:candles:30m,1786699872287
1786699199999,UNOMINDA,5m,1240.60,1240.70,1240.00,1240.30,986,1786699267717-0,md:candles:5m,1786699276624
