ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,UPL,10m,560.80,561.20,560.65,561.10,15121,1786699267212-0,md:candles:10m,1786699276624
1786699799999,UPL,10m,561.10,562.20,560.80,561.85,85176,1786699866153-0,md:candles:10m,1786699876284
1786700399999,UPL,10m,561.90,562.05,561.25,561.95,71977,1786700467473-0,md:candles:10m,1786700471301
1786700999999,UPL,10m,561.85,562.25,561.00,561.70,37571,1786701077792-0,md:candles:10m,1786701080910
1786701599999,UPL,10m,561.70,563.00,561.70,563.00,1544251,1786702885431-0,md:candles:10m,1786702885431
1786702843000,UPL,1d,560.80,563.00,560.65,563.00,1754096,1786702848888-0,md:candles:1d,1786702850879
1786698959999,UPL,1m,560.80,560.95,560.65,560.95,1209,1786698967221-0,md:candles:1m,1786698974630
1786699019999,UPL,1m,561.00,561.00,560.65,560.75,2472,1786699028676-0,md:candles:1m,1786699041361
1786699079999,UPL,1m,560.90,561.05,560.75,560.80,3696,1786699087120-0,md:candles:1m,1786699094422
1786699139999,UPL,1m,561.05,561.10,560.75,560.80,2784,1786699147489-0,md:candles:1m,1786699158101
1786699199999,UPL,1m,561.10,561.20,560.85,561.10,4960,1786699208178-0,md:candles:1m,1786699208603
1786699259999,UPL,1m,561.10,561.15,560.80,560.85,2615,1786699267201-0,md:candles:1m,1786699273120
1786699319999,UPL,1m,561.00,561.35,560.85,561.05,4375,1786699326836-0,md:candles:1m,1786699339124
1786699379999,UPL,1m,560.90,561.55,560.90,561.50,9271,1786699385880-0,md:candles:1m,1786699391745
1786699439999,UPL,1m,561.45,561.60,561.25,561.25,4164,1786699448384-0,md:candles:1m,1786699457822
1786699499999,UPL,1m,561.25,561.65,561.25,561.30,4901,1786699507021-0,md:candles:1m,1786699511111
1786699559999,UPL,1m,561.60,561.75,561.20,561.25,8962,1786699569900-0,md:candles:1m,1786699576085
1786699619999,UPL,1m,561.45,561.85,561.45,561.80,10253,1786699625998-0,md:candles:1m,1786699627296
1786699679999,UPL,1m,561.60,562.20,561.45,562.20,13168,1786699689963-0,md:candles:1m,1786699701410
1786699739999,UPL,1m,561.90,562.05,561.25,561.75,12496,1786699749968-0,md:candles:1m,1786699754023
1786699799999,UPL,1m,561.55,561.85,561.30,561.85,14971,1786699808449-0,md:candles:1m,1786699821286
1786699859999,UPL,1m,561.90,561.90,561.45,561.90,7505,1786699866110-0,md:candles:1m,1786699871843
1786699919999,UPL,1m,561.80,561.80,561.25,561.40,4458,1786699930320-0,md:candles:1m,1786699936026
1786699979999,UPL,1m,561.45,561.55,561.25,561.55,9203,1786699988827-0,md:candles:1m,1786699989617
1786700039999,UPL,1m,561.55,561.75,561.25,561.75,9096,1786700047169-0,md:candles:1m,1786700051805
1786700099999,UPL,1m,561.65,561.90,561.65,561.90,2045,1786700105206-0,md:candles:1m,1786700105816
1786700159999,UPL,1m,561.90,562.05,561.50,561.80,7420,1786700168097-0,md:candles:1m,1786700171522
