ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,VBL,10m,433.70,433.75,433.40,433.45,6145,1786699265774-0,md:candles:10m,1786699276624
1786699799999,VBL,10m,433.45,434.15,433.45,433.75,63683,1786699869382-0,md:candles:10m,1786699876284
1786700399999,VBL,10m,433.65,434.55,433.35,433.95,143068,1786700465485-0,md:candles:10m,1786700471301
1786700999999,VBL,10m,433.95,434.45,433.70,434.00,63400,1786701069702-0,md:candles:10m,1786701070102
1786701599999,VBL,10m,434.00,435.00,434.00,435.00,1803479,1786702887731-0,md:candles:10m,1786702895644
1786702801000,VBL,1d,433.70,435.00,433.35,435.00,2079775,1786702806764-0,md:candles:1d,1786702807233
1786698959999,VBL,1m,433.70,433.75,433.50,433.75,522,1786698965857-0,md:candles:1m,1786698974630
1786699019999,VBL,1m,433.50,433.70,433.40,433.40,1060,1786699027918-0,md:candles:1m,1786699028548
1786699079999,VBL,1m,433.45,433.50,433.40,433.50,711,1786699085693-0,md:candles:1m,1786699094422
1786699139999,VBL,1m,433.45,433.50,433.40,433.40,2903,1786699145695-0,md:candles:1m,1786699146984
1786699199999,VBL,1m,433.40,433.50,433.40,433.45,949,1786699206793-0,md:candles:1m,1786699208603
1786699259999,VBL,1m,433.45,433.55,433.45,433.45,2260,1786699265745-0,md:candles:1m,1786699273120
1786699319999,VBL,1m,433.45,433.75,433.45,433.75,6546,1786699325312-0,md:candles:1m,1786699326703
1786699379999,VBL,1m,433.65,433.85,433.50,433.65,10343,1786699388217-0,md:candles:1m,1786699391745
1786699439999,VBL,1m,433.65,433.75,433.55,433.55,3271,1786699446902-0,md:candles:1m,1786699457822
1786699499999,VBL,1m,433.50,434.05,433.50,433.90,18579,1786699505182-0,md:candles:1m,1786699511111
1786699559999,VBL,1m,433.90,434.10,433.85,434.00,4579,1786699568133-0,md:candles:1m,1786699576085
1786699619999,VBL,1m,434.05,434.15,433.80,434.00,3759,1786699628153-0,md:candles:1m,1786699639246
1786699679999,VBL,1m,433.75,434.10,433.75,433.90,8854,1786699687990-0,md:candles:1m,1786699689702
1786699739999,VBL,1m,434.05,434.05,433.60,433.70,2243,1786699748587-0,md:candles:1m,1786699754023
1786699799999,VBL,1m,433.70,433.80,433.55,433.75,3249,1786699806597-0,md:candles:1m,1786699807941
1786699859999,VBL,1m,433.65,433.65,433.35,433.55,15877,1786699869359-0,md:candles:1m,1786699871843
1786699919999,VBL,1m,433.50,433.90,433.45,433.75,13177,1786699926126-0,md:candles:1m,1786699936026
1786699979999,VBL,1m,433.85,434.15,433.85,434.05,10899,1786699987222-0,md:candles:1m,1786699989617
1786700039999,VBL,1m,434.00,434.45,434.00,434.45,13612,1786700047606-0,md:candles:1m,1786700051805
1786700099999,VBL,1m,434.55,434.55,434.15,434.35,7324,1786700107411-0,md:candles:1m,1786700118244
1786700159999,VBL,1m,434.15,434.15,433.70,433.80,16206,1786700166519-0,md:candles:1m,1786700171522
1786700219999,VBL,1m,433.75,433.95,433.75,433.85,23128,1786700229064-0,md:candles:1m,1786700233604
1786700279999,VBL,1m,433.85,433.85,433.50,433.85,24651,1786700290898-0,md:candles:1m,1786700298079
1786700339999,VBL,1m,433.85,434.20,433.75,434.20,10122,1786700345587-0,md:candles:1m,1786700351053
1786700399999,VBL,1m,434.15,434.15,433.85,433.95,8072,1786700411614-0,md:candles:1m,1786700412580
1786700459999,VBL,1m,433.95,433.95,433.70,433.90,16306,1786700465447-0,md:candles:1m,1786700476026
1786700519999,VBL,1m,433.85,433.95,433.80,433.85,5918,1786700527541-0,md:candles:1m,1786700529452
1786700579999,VBL,1m,433.95,433.95,433.75,433.95,21397,1786700592092-0,md:candles:1m,1786700602905
1786700639999,VBL,1m,433.95,434.25,433.80,434.00,10220,1786700645575-0,md:candles:1m,1786700653590
1786700699999,VBL,1m,433.90,434.45,433.90,434.00,9532,1786700708246-0,md:candles:1m,1786700715149
1786700759999,VBL,1m,434.00,434.00,434.00,434.00,27,1786701007303-0,md:candles:1m,1786701010481
1786701059999,VBL,1m,434.00,434.00,434.00,434.00,34858,1786701069696-0,md:candles:1m,1786701071890
1786701119999,VBL,1m,434.00,434.00,434.00,434.00,788,1786701126404-0,md:candles:1m,1786701126761
1786701179999,VBL,1m,434.00,434.00,434.00,434.00,928,1786701186761-0,md:candles:1m,1786701191510
1786701239999,VBL,1m,434.00,434.00,434.00,434.00,1231,1786701246793-0,md:candles:1m,1786701248276
1786701299999,VBL,1m,434.00,434.00,434.00,434.00,430,1786701315684-0,md:candles:1m,1786701324284
1786701359999,VBL,1m,434.00,434.00,434.00,434.00,103,1786701368675-0,md:candles:1m,1786701379364
1786701419999,VBL,1m,434.00,434.00,434.00,434.00,145,1786701427789-0,md:candles:1m,1786701432770
1786701479999,VBL,1m,434.00,434.00,434.00,434.00,7943,1786701490788-0,md:candles:1m,1786701496799
1786701539999,VBL,1m,434.00,435.00,434.00,435.00,1757053,1786702806763-0,md:candles:1m,1786702808525
1786702859999,VBL,1m,435.00,435.00,435.00,435.00,324,1786702887726-0,md:candles:1m,1786702895641
1786702919999,VBL,1m,435.00,435.00,435.00,435.00,3,1786702955726-0,md:candles:1m,1786702957910
1786702979999,VBL,1m,435.00,435.00,435.00,435.00,204,1786703033885-0,md:candles:1m,1786703044208
1786703039999,VBL,1m,435.00,435.00,435.00,435.00,1,1786703230200-0,md:candles:1m,1786703239900
1786703279999,VBL,1m,435.00,435.00,435.00,435.00,13,1786703348141-0,md:candles:1m,1786703358163
1786699799999,VBL,30m,433.70,434.15,433.40,433.75,69828,1786699869383-0,md:candles:30m,1786699872287
1786701599999,VBL,30m,433.65,435.00,433.35,435.00,2009947,1786702887732-0,md:candles:30m,1786702894033
1786699199999,VBL,5m,433.70,433.75,433.40,433.45,6145,1786699265773-0,md:candles:5m,1786699276624
1786699499999,VBL,5m,433.45,434.05,433.45,433.90,40999,1786699568143-0,md:candles:5m,1786699570970
1786699799999,VBL,5m,433.90,434.15,433.55,433.75,22684,1786699869380-0,md:candles:5m,1786699880291
1786700099999,VBL,5m,433.65,434.55,433.35,434.35,60889,1786700166525-0,md:candles:5m,1786700170829
1786700399999,VBL,5m,434.15,434.20,433.50,433.95,82179,1786700465483-0,md:candles:5m,1786700471362
1786700699999,VBL,5m,433.95,434.45,433.70,434.00,63373,1786701007306-0,md:candles:5m,1786701013188
1786700999999,VBL,5m,434.00,434.00,434.00,434.00,27,1786701069701-0,md:candles:5m,1786701080800
1786701299999,VBL,5m,434.00,434.00,434.00,434.00,38235,1786701368680-0,md:candles:5m,1786701379364
1786701599999,VBL,5m,434.00,435.00,434.00,435.00,1765244,1786702887729-0,md:candles:5m,1786702895643
1786703099999,VBL,5m,435.00,435.00,435.00,435.00,532,1786703348142-0,md:candles:5m,1786703351445
