ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,VEDL,10m,268.60,268.95,268.45,268.90,63584,1786699265765-0,md:candles:10m,1786699276624
1786699799999,VEDL,10m,268.90,268.95,268.70,268.95,184130,1786699869349-0,md:candles:10m,1786699876284
1786700399999,VEDL,10m,268.95,268.95,267.90,267.95,385435,1786700465473-0,md:candles:10m,1786700471301
1786700999999,VEDL,10m,267.95,268.20,267.75,267.75,257001,1786701075996-0,md:candles:10m,1786701080910
1786701599999,VEDL,10m,267.75,267.75,267.50,267.50,10593826,1786702866501-0,md:candles:10m,1786702875014
1786702801000,VEDL,1d,268.60,268.95,267.50,267.50,11483976,1786702806748-0,md:candles:1d,1786702807233
1786698959999,VEDL,1m,268.60,268.60,268.60,268.60,2163,1786698965717-0,md:candles:1m,1786698974630
1786699019999,VEDL,1m,268.60,268.60,268.45,268.55,8039,1786699029346-0,md:candles:1m,1786699041361
1786699079999,VEDL,1m,268.55,268.85,268.45,268.80,16000,1786699088207-0,md:candles:1m,1786699094422
1786699139999,VEDL,1m,268.80,268.90,268.75,268.80,17684,1786699145642-0,md:candles:1m,1786699146984
1786699199999,VEDL,1m,268.85,268.95,268.80,268.90,19698,1786699206724-0,md:candles:1m,1786699208603
1786699259999,VEDL,1m,268.90,268.95,268.85,268.95,72214,1786699265732-0,md:candles:1m,1786699273120
1786699319999,VEDL,1m,268.95,268.95,268.80,268.80,15683,1786699325301-0,md:candles:1m,1786699326703
1786699379999,VEDL,1m,268.90,268.95,268.80,268.95,17187,1786699388194-0,md:candles:1m,1786699391745
1786699439999,VEDL,1m,268.90,268.95,268.80,268.90,10823,1786699446890-0,md:candles:1m,1786699457822
1786699499999,VEDL,1m,268.85,268.90,268.70,268.80,21853,1786699505173-0,md:candles:1m,1786699511111
1786699559999,VEDL,1m,268.80,268.95,268.80,268.95,7112,1786699568131-0,md:candles:1m,1786699576085
1786699619999,VEDL,1m,268.90,268.95,268.85,268.95,14426,1786699628136-0,md:candles:1m,1786699639246
1786699679999,VEDL,1m,268.90,268.95,268.85,268.95,8732,1786699687984-0,md:candles:1m,1786699689702
1786699739999,VEDL,1m,268.90,268.95,268.85,268.90,9296,1786699748076-0,md:candles:1m,1786699754023
1786699799999,VEDL,1m,268.85,268.95,268.85,268.95,6804,1786699806494-0,md:candles:1m,1786699807941
1786699859999,VEDL,1m,268.95,268.95,268.55,268.55,24253,1786699869341-0,md:candles:1m,1786699871843
1786699919999,VEDL,1m,268.60,268.65,268.40,268.55,31798,1786699926116-0,md:candles:1m,1786699936026
1786699979999,VEDL,1m,268.50,268.50,268.35,268.35,23573,1786699987204-0,md:candles:1m,1786699989617
1786700039999,VEDL,1m,268.40,268.40,268.35,268.40,20296,1786700047513-0,md:candles:1m,1786700051805
1786700099999,VEDL,1m,268.40,268.40,268.35,268.40,38268,1786700110308-0,md:candles:1m,1786700118244
1786700159999,VEDL,1m,268.35,268.35,268.20,268.25,18300,1786700166488-0,md:candles:1m,1786700171522
1786700219999,VEDL,1m,268.20,268.25,268.00,268.10,64392,1786700229043-0,md:candles:1m,1786700233604
1786700279999,VEDL,1m,268.05,268.10,268.00,268.05,27198,1786700290783-0,md:candles:1m,1786700298079
1786700339999,VEDL,1m,268.05,268.10,268.00,268.10,73736,1786700350982-0,md:candles:1m,1786700351053
1786700399999,VEDL,1m,268.00,268.10,267.90,267.95,63621,1786700411606-0,md:candles:1m,1786700412580
1786700459999,VEDL,1m,267.95,267.95,267.80,267.90,42170,1786700465442-0,md:candles:1m,1786700476026
1786700519999,VEDL,1m,267.95,268.05,267.90,268.05,54134,1786700527514-0,md:candles:1m,1786700529452
1786700579999,VEDL,1m,268.00,268.20,267.80,268.00,109119,1786700592077-0,md:candles:1m,1786700602905
1786700639999,VEDL,1m,268.00,268.10,267.90,267.95,29231,1786700645385-0,md:candles:1m,1786700653590
1786700699999,VEDL,1m,267.85,267.95,267.75,267.95,21767,1786700708149-0,md:candles:1m,1786700715149
1786700759999,VEDL,1m,267.75,267.75,267.75,267.75,580,1786701007288-0,md:candles:1m,1786701010481
1786701059999,VEDL,1m,267.75,267.75,267.75,267.75,73868,1786701075993-0,md:candles:1m,1786701082805
1786701119999,VEDL,1m,267.75,267.75,267.75,267.75,5284,1786701132407-0,md:candles:1m,1786701137210
1786701179999,VEDL,1m,267.75,267.75,267.75,267.75,2733,1786701186722-0,md:candles:1m,1786701191510
1786701239999,VEDL,1m,267.75,267.75,267.75,267.75,5918,1786701253098-0,md:candles:1m,1786701260413
1786701299999,VEDL,1m,267.75,267.75,267.75,267.75,3582,1786701308872-0,md:candles:1m,1786701313567
1786701359999,VEDL,1m,267.75,267.75,267.75,267.75,3349,1786701375072-0,md:candles:1m,1786701379364
1786701419999,VEDL,1m,267.75,267.75,267.75,267.75,546,1786701434379-0,md:candles:1m,1786701443578
1786701479999,VEDL,1m,267.75,267.75,267.75,267.75,455,1786701490670-0,md:candles:1m,1786701496799
1786701539999,VEDL,1m,267.75,267.75,267.50,267.50,10498091,1786702806747-0,md:candles:1m,1786702808525
1786702859999,VEDL,1m,267.50,267.50,267.50,267.50,1140,1786702866499-0,md:candles:1m,1786702874006
1786702919999,VEDL,1m,267.50,267.50,267.50,267.50,818,1786702956108-0,md:candles:1m,1786702957910
1786702979999,VEDL,1m,267.50,267.50,267.50,267.50,670,1786702991640-0,md:candles:1m,1786703000545
1786703039999,VEDL,1m,267.50,267.50,267.50,267.50,22,1786703052410-0,md:candles:1m,1786703055708
1786703099999,VEDL,1m,267.50,267.50,267.50,267.50,618,1786703151323-0,md:candles:1m,1786703153316
1786703159999,VEDL,1m,267.50,267.50,267.50,267.50,35,1786703172655-0,md:candles:1m,1786703173539
1786703219999,VEDL,1m,267.50,267.50,267.50,267.50,517,1786703369570-0,md:candles:1m,1786703380077
1786699799999,VEDL,30m,268.60,268.95,268.45,268.95,247714,1786699869351-0,md:candles:30m,1786699872287
1786701599999,VEDL,30m,268.95,268.95,267.50,267.50,11236262,1786702866502-0,md:candles:30m,1786702871507
1786699199999,VEDL,5m,268.60,268.95,268.45,268.90,63584,1786699265764-0,md:candles:5m,1786699276624
1786699499999,VEDL,5m,268.90,268.95,268.70,268.80,137760,1786699568138-0,md:candles:5m,1786699570970
1786699799999,VEDL,5m,268.80,268.95,268.80,268.95,46370,1786699869347-0,md:candles:5m,1786699880291
1786700099999,VEDL,5m,268.95,268.95,268.35,268.40,138188,1786700166490-0,md:candles:5m,1786700170829
1786700399999,VEDL,5m,268.35,268.35,267.90,267.95,247247,1786700465472-0,md:candles:5m,1786700471362
1786700699999,VEDL,5m,267.95,268.20,267.75,267.95,256421,1786701007290-0,md:candles:5m,1786701013188
1786700999999,VEDL,5m,267.75,267.75,267.75,267.75,580,1786701075995-0,md:candles:5m,1786701080800
1786701299999,VEDL,5m,267.75,267.75,267.75,267.75,91385,1786701375073-0,md:candles:5m,1786701379364
1786701599999,VEDL,5m,267.75,267.75,267.50,267.50,10502441,1786702866500-0,md:candles:5m,1786702874028
1786703099999,VEDL,5m,267.50,267.50,267.50,267.50,3268,1786703172658-0,md:candles:5m,1786703174451
