ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,VOLTAS,10m,1328.50,1329.30,1327.20,1327.40,11117,1786699267615-0,md:candles:10m,1786699276624
1786699799999,VOLTAS,10m,1327.90,1328.10,1322.60,1323.50,43146,1786699865566-0,md:candles:10m,1786699876284
1786700399999,VOLTAS,10m,1323.20,1323.20,1318.10,1321.20,89003,1786700465331-0,md:candles:10m,1786700471301
1786700999999,VOLTAS,10m,1321.20,1326.70,1320.00,1322.00,69251,1786701078198-0,md:candles:10m,1786701080910
1786701599999,VOLTAS,10m,1322.00,1322.00,1320.50,1320.50,2375667,1786703145220-0,md:candles:10m,1786703153627
1786702803000,VOLTAS,1d,1328.50,1329.30,1318.10,1320.50,2588184,1786702808635-0,md:candles:1d,1786702818543
1786698959999,VOLTAS,1m,1328.50,1329.30,1328.10,1328.50,1695,1786698968204-0,md:candles:1m,1786698974630
1786699019999,VOLTAS,1m,1329.20,1329.30,1327.90,1328.00,3233,1786699025722-0,md:candles:1m,1786699028548
1786699079999,VOLTAS,1m,1327.80,1328.30,1327.70,1327.70,1672,1786699087616-0,md:candles:1m,1786699094422
1786699139999,VOLTAS,1m,1327.90,1327.90,1327.20,1327.20,1443,1786699148010-0,md:candles:1m,1786699158101
1786699199999,VOLTAS,1m,1327.20,1328.00,1327.20,1327.40,3074,1786699208605-0,md:candles:1m,1786699208603
1786699259999,VOLTAS,1m,1327.90,1328.10,1326.30,1326.70,2730,1786699267605-0,md:candles:1m,1786699273120
1786699319999,VOLTAS,1m,1327.10,1327.40,1326.50,1327.20,2634,1786699327173-0,md:candles:1m,1786699339124
1786699379999,VOLTAS,1m,1327.10,1327.40,1326.40,1326.90,3197,1786699390562-0,md:candles:1m,1786699391745
1786699439999,VOLTAS,1m,1326.90,1326.90,1326.60,1326.70,1195,1786699447174-0,md:candles:1m,1786699457822
1786699499999,VOLTAS,1m,1326.70,1326.90,1323.20,1323.50,10987,1786699507474-0,md:candles:1m,1786699511111
