ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,WIPRO,10m,184.17,184.25,184.15,184.24,33876,1786699266436-0,md:candles:10m,1786699276624
1786699799999,WIPRO,10m,184.25,184.54,184.23,184.33,110975,1786699870178-0,md:candles:10m,1786699876284
1786700399999,WIPRO,10m,184.33,184.44,184.10,184.10,226914,1786700466476-0,md:candles:10m,1786700471301
1786700999999,WIPRO,10m,184.15,184.19,184.00,184.00,369946,1786701070447-0,md:candles:10m,1786701080910
1786701599999,WIPRO,10m,184.00,184.00,184.00,184.00,7317572,1786702869007-0,md:candles:10m,1786702875014
1786702802000,WIPRO,1d,184.17,184.54,184.00,184.00,8059283,1786702807426-0,md:candles:1d,1786702818543
1786698959999,WIPRO,1m,184.17,184.25,184.16,184.25,6735,1786698966423-0,md:candles:1m,1786698974630
1786699019999,WIPRO,1m,184.18,184.23,184.16,184.16,6477,1786699028597-0,md:candles:1m,1786699041361
1786699079999,WIPRO,1m,184.20,184.24,184.15,184.20,7132,1786699088901-0,md:candles:1m,1786699094422
1786699139999,WIPRO,1m,184.18,184.20,184.15,184.19,4614,1786699146483-0,md:candles:1m,1786699146984
1786699199999,WIPRO,1m,184.20,184.24,184.17,184.24,8918,1786699207366-0,md:candles:1m,1786699208603
1786699259999,WIPRO,1m,184.25,184.30,184.23,184.26,8005,1786699266418-0,md:candles:1m,1786699273120
1786699319999,WIPRO,1m,184.30,184.50,184.28,184.40,13255,1786699325993-0,md:candles:1m,1786699326703
1786699379999,WIPRO,1m,184.45,184.50,184.41,184.50,13749,1786699388930-0,md:candles:1m,1786699391745
1786699439999,WIPRO,1m,184.47,184.54,184.46,184.54,6396,1786699447603-0,md:candles:1m,1786699457822
1786699499999,WIPRO,1m,184.54,184.54,184.45,184.47,5876,1786699506154-0,md:candles:1m,1786699511111
1786699559999,WIPRO,1m,184.50,184.50,184.40,184.46,13828,1786699568866-0,md:candles:1m,1786699576085
1786699619999,WIPRO,1m,184.45,184.45,184.37,184.40,10614,1786699625961-0,md:candles:1m,1786699627296
1786699679999,WIPRO,1m,184.42,184.44,184.39,184.39,14686,1786699688980-0,md:candles:1m,1786699689702
1786699739999,WIPRO,1m,184.42,184.42,184.31,184.36,13353,1786699749012-0,md:candles:1m,1786699754023
1786699799999,WIPRO,1m,184.35,184.40,184.33,184.33,11213,1786699807337-0,md:candles:1m,1786699807941
1786699859999,WIPRO,1m,184.33,184.44,184.30,184.38,17807,1786699870170-0,md:candles:1m,1786699871843
1786699919999,WIPRO,1m,184.39,184.40,184.36,184.38,7606,1786699929453-0,md:candles:1m,1786699936026
1786699979999,WIPRO,1m,184.40,184.40,184.38,184.40,16163,1786699988016-0,md:candles:1m,1786699989617
1786700039999,WIPRO,1m,184.40,184.40,184.35,184.37,11927,1786700046159-0,md:candles:1m,1786700051805
1786700099999,WIPRO,1m,184.34,184.34,184.22,184.23,35124,1786700108248-0,md:candles:1m,1786700118244
1786700159999,WIPRO,1m,184.22,184.22,184.12,184.18,44769,1786700167120-0,md:candles:1m,1786700171522
1786700219999,WIPRO,1m,184.18,184.21,184.11,184.12,47509,1786700229703-0,md:candles:1m,1786700233604
1786700279999,WIPRO,1m,184.12,184.12,184.11,184.11,11590,1786700285268-0,md:candles:1m,1786700286220
1786700339999,WIPRO,1m,184.12,184.15,184.11,184.11,7935,1786700346590-0,md:candles:1m,1786700351053
1786700399999,WIPRO,1m,184.12,184.14,184.10,184.10,26484,1786700411527-0,md:candles:1m,1786700412580
1786700459999,WIPRO,1m,184.15,184.15,184.11,184.13,27868,1786700466453-0,md:candles:1m,1786700476026
1786700519999,WIPRO,1m,184.11,184.11,184.01,184.03,39124,1786700528296-0,md:candles:1m,1786700529452
1786700579999,WIPRO,1m,184.02,184.19,184.00,184.01,128698,1786700585805-0,md:candles:1m,1786700591306
1786700639999,WIPRO,1m,184.01,184.08,184.00,184.08,59396,1786700646171-0,md:candles:1m,1786700653590
1786700699999,WIPRO,1m,184.03,184.09,184.00,184.00,114754,1786700708855-0,md:candles:1m,1786700715149
1786700759999,WIPRO,1m,184.00,184.00,184.00,184.00,106,1786701008192-0,md:candles:1m,1786701010481
1786701059999,WIPRO,1m,184.00,184.00,184.00,184.00,55178,1786701070441-0,md:candles:1m,1786701071890
1786701119999,WIPRO,1m,184.00,184.00,184.00,184.00,1552,1786701127068-0,md:candles:1m,1786701137210
1786701179999,WIPRO,1m,184.00,184.00,184.00,184.00,3843,1786701187423-0,md:candles:1m,1786701191510
1786701239999,WIPRO,1m,184.00,184.00,184.00,184.00,1764,1786701247491-0,md:candles:1m,1786701248276
1786701299999,WIPRO,1m,184.00,184.00,184.00,184.00,27382,1786701309678-0,md:candles:1m,1786701313567
1786701359999,WIPRO,1m,184.00,184.00,184.00,184.00,6703,1786701369448-0,md:candles:1m,1786701379364
1786701419999,WIPRO,1m,184.00,184.00,184.00,184.00,867,1786701428565-0,md:candles:1m,1786701432770
1786701479999,WIPRO,1m,184.00,184.00,184.00,184.00,1090,1786701491673-0,md:candles:1m,1786701496799
1786701539999,WIPRO,1m,184.00,184.00,184.00,184.00,7219193,1786702807424-0,md:candles:1m,1786702808525
1786702859999,WIPRO,1m,184.00,184.00,184.00,184.00,213,1786702869003-0,md:candles:1m,1786702874006
1786702919999,WIPRO,1m,184.00,184.00,184.00,184.00,34,1786703056818-0,md:candles:1m,1786703065931
