ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,YESBANK,10m,22.80,22.81,22.78,22.78,449276,1786699266253-0,md:candles:10m,1786699276624
1786699799999,YESBANK,10m,22.78,22.82,22.77,22.78,1924045,1786699869468-0,md:candles:10m,1786699876284
1786700399999,YESBANK,10m,22.78,22.78,22.71,22.73,3482900,1786700465503-0,md:candles:10m,1786700471301
1786700999999,YESBANK,10m,22.72,22.76,22.70,22.71,2084701,1786701069808-0,md:candles:10m,1786701070102
1786701599999,YESBANK,10m,22.71,22.71,22.67,22.67,38849057,1786702887045-0,md:candles:10m,1786702895644
1786702801000,YESBANK,1d,22.80,22.82,22.67,22.67,46789979,1786702806841-0,md:candles:1d,1786702807233
1786698959999,YESBANK,1m,22.80,22.81,22.79,22.81,24573,1786698965914-0,md:candles:1m,1786698974630
1786699019999,YESBANK,1m,22.80,22.80,22.79,22.80,102232,1786699027927-0,md:candles:1m,1786699028548
1786699079999,YESBANK,1m,22.79,22.79,22.78,22.79,182679,1786699088413-0,md:candles:1m,1786699094422
1786699139999,YESBANK,1m,22.79,22.79,22.78,22.79,90786,1786699145825-0,md:candles:1m,1786699146984
1786699199999,YESBANK,1m,22.79,22.79,22.78,22.78,49006,1786699206897-0,md:candles:1m,1786699208603
1786699259999,YESBANK,1m,22.78,22.80,22.78,22.79,40244,1786699266243-0,md:candles:1m,1786699273120
1786699319999,YESBANK,1m,22.79,22.80,22.78,22.80,81754,1786699325385-0,md:candles:1m,1786699326703
1786699379999,YESBANK,1m,22.79,22.80,22.79,22.79,212172,1786699388364-0,md:candles:1m,1786699391745
1786699439999,YESBANK,1m,22.80,22.82,22.80,22.81,502375,1786699446992-0,md:candles:1m,1786699457822
1786699499999,YESBANK,1m,22.81,22.81,22.79,22.79,195441,1786699505304-0,md:candles:1m,1786699511111
1786699559999,YESBANK,1m,22.80,22.81,22.80,22.81,65705,1786699568145-0,md:candles:1m,1786699576085
1786699619999,YESBANK,1m,22.80,22.81,22.79,22.79,244059,1786699630951-0,md:candles:1m,1786699639246
1786699679999,YESBANK,1m,22.80,22.80,22.79,22.79,108471,1786699689334-0,md:candles:1m,1786699689702
1786699739999,YESBANK,1m,22.79,22.80,22.78,22.78,425640,1786699748695-0,md:candles:1m,1786699754023
1786699799999,YESBANK,1m,22.77,22.78,22.77,22.78,48184,1786699806671-0,md:candles:1m,1786699807941
1786699859999,YESBANK,1m,22.78,22.78,22.76,22.76,397180,1786699869465-0,md:candles:1m,1786699871843
1786699919999,YESBANK,1m,22.76,22.77,22.75,22.75,605161,1786699928722-0,md:candles:1m,1786699936026
1786699979999,YESBANK,1m,22.76,22.76,22.75,22.75,264788,1786699987258-0,md:candles:1m,1786699989617
1786700039999,YESBANK,1m,22.76,22.77,22.76,22.76,200574,1786700047739-0,md:candles:1m,1786700051805
1786700099999,YESBANK,1m,22.76,22.77,22.75,22.76,198257,1786700110411-0,md:candles:1m,1786700118244
1786700159999,YESBANK,1m,22.76,22.77,22.75,22.75,224090,1786700166570-0,md:candles:1m,1786700171522
1786700219999,YESBANK,1m,22.75,22.76,22.73,22.74,1017406,1786700229109-0,md:candles:1m,1786700233604
1786700279999,YESBANK,1m,22.74,22.74,22.72,22.73,191680,1786700291025-0,md:candles:1m,1786700298079
1786700339999,YESBANK,1m,22.72,22.73,22.72,22.73,132710,1786700351045-0,md:candles:1m,1786700351053
1786700399999,YESBANK,1m,22.73,22.73,22.71,22.73,251054,1786700410375-0,md:candles:1m,1786700412580
1786700459999,YESBANK,1m,22.72,22.76,22.72,22.75,439708,1786700465459-0,md:candles:1m,1786700476026
1786700519999,YESBANK,1m,22.76,22.76,22.75,22.76,140904,1786700527552-0,md:candles:1m,1786700529452
1786700579999,YESBANK,1m,22.76,22.76,22.70,22.72,993963,1786700592183-0,md:candles:1m,1786700602905
1786700639999,YESBANK,1m,22.74,22.74,22.70,22.73,211876,1786700645645-0,md:candles:1m,1786700653590
1786700699999,YESBANK,1m,22.71,22.72,22.70,22.71,298072,1786700708261-0,md:candles:1m,1786700715149
1786700759999,YESBANK,1m,22.71,22.71,22.71,22.71,178,1786701007492-0,md:candles:1m,1786701010481
1786701059999,YESBANK,1m,22.71,22.71,22.71,22.71,507534,1786701069797-0,md:candles:1m,1786701071890
1786701119999,YESBANK,1m,22.71,22.71,22.71,22.71,8499,1786701126466-0,md:candles:1m,1786701126761
1786701179999,YESBANK,1m,22.71,22.71,22.71,22.71,13735,1786701186785-0,md:candles:1m,1786701191510
1786701239999,YESBANK,1m,22.71,22.71,22.71,22.71,19475,1786701246886-0,md:candles:1m,1786701248276
1786701299999,YESBANK,1m,22.71,22.71,22.71,22.71,3065,1786701315782-0,md:candles:1m,1786701324284
1786701359999,YESBANK,1m,22.71,22.71,22.71,22.71,6949,1786701368753-0,md:candles:1m,1786701379364
1786701419999,YESBANK,1m,22.71,22.71,22.71,22.71,5826,1786701427877-0,md:candles:1m,1786701432770
1786701479999,YESBANK,1m,22.71,22.71,22.71,22.71,44429,1786701490871-0,md:candles:1m,1786701496799
1786701539999,YESBANK,1m,22.71,22.71,22.67,22.67,38239545,1786702806839-0,md:candles:1m,1786702808525
1786702859999,YESBANK,1m,22.67,22.67,22.67,22.67,10022,1786702887038-0,md:candles:1m,1786702895641
1786702919999,YESBANK,1m,22.67,22.67,22.67,22.67,626,1786702934787-0,md:candles:1m,1786702937190
1786702979999,YESBANK,1m,22.67,22.67,22.67,22.67,715,1786702995856-0,md:candles:1m,1786703000545
1786703039999,YESBANK,1m,22.67,22.67,22.67,22.67,739,1786703053416-0,md:candles:1m,1786703055708
1786703099999,YESBANK,1m,22.67,22.67,22.67,22.67,1450,1786703112485-0,md:candles:1m,1786703118294
1786703159999,YESBANK,1m,22.67,22.67,22.67,22.67,400,1786703171850-0,md:candles:1m,1786703173539
1786703219999,YESBANK,1m,22.67,22.67,22.67,22.67,20270,1786703233100-0,md:candles:1m,1786703239900
1786703279999,YESBANK,1m,22.67,22.67,22.67,22.67,52,1786703293467-0,md:candles:1m,1786703302579
1786703339999,YESBANK,1m,22.67,22.67,22.67,22.67,12368,1786703354455-0,md:candles:1m,1786703358163
1786699799999,YESBANK,30m,22.80,22.82,22.77,22.78,2373321,1786699869470-0,md:candles:30m,1786699872287
1786701599999,YESBANK,30m,22.78,22.78,22.67,22.67,44416658,1786702887047-0,md:candles:30m,1786702894033
1786699199999,YESBANK,5m,22.80,22.81,22.78,22.78,449276,1786699266251-0,md:candles:5m,1786699276624
1786699499999,YESBANK,5m,22.78,22.82,22.78,22.79,1031986,1786699568150-0,md:candles:5m,1786699570970
1786699799999,YESBANK,5m,22.80,22.81,22.77,22.78,892059,1786699869467-0,md:candles:5m,1786699880291
1786700099999,YESBANK,5m,22.78,22.78,22.75,22.76,1665960,1786700166571-0,md:candles:5m,1786700170829
1786700399999,YESBANK,5m,22.76,22.77,22.71,22.73,1816940,1786700465501-0,md:candles:5m,1786700471362
1786700699999,YESBANK,5m,22.72,22.76,22.70,22.71,2084523,1786701007493-0,md:candles:5m,1786701013188
