ts_ms,symbol,tf,o,h,l,c,v,_redis_id,_stream,ts_recv
1786699199999,ZYDUSLIFE,10m,1145.10,1145.50,1142.50,1142.80,33688,1786699266276-0,md:candles:10m,1786699276624
1786699799999,ZYDUSLIFE,10m,1142.50,1142.70,1140.80,1141.00,14341,1786699869542-0,md:candles:10m,1786699876284
1786700399999,ZYDUSLIFE,10m,1140.90,1141.20,1137.60,1138.60,41305,1786700465507-0,md:candles:10m,1786700471301
1786700999999,ZYDUSLIFE,10m,1138.20,1139.40,1136.10,1136.80,24522,1786701069815-0,md:candles:10m,1786701070102
1786701599999,ZYDUSLIFE,10m,1136.80,1136.80,1135.20,1135.20,799624,1786702894750-0,md:candles:10m,1786702895644
1786702801000,ZYDUSLIFE,1d,1145.10,1145.50,1135.20,1135.20,913480,1786702806848-0,md:candles:1d,1786702807233
1786698959999,ZYDUSLIFE,1m,1145.10,1145.20,1145.00,1145.00,1028,1786698965491-0,md:candles:1m,1786698974630
1786699019999,ZYDUSLIFE,1m,1145.10,1145.20,1145.00,1145.10,737,1786699027929-0,md:candles:1m,1786699028548
1786699079999,ZYDUSLIFE,1m,1145.00,1145.50,1145.00,1145.00,3281,1786699088416-0,md:candles:1m,1786699094422
1786699139999,ZYDUSLIFE,1m,1145.00,1145.10,1145.00,1145.10,4612,1786699145830-0,md:candles:1m,1786699146984
1786699199999,ZYDUSLIFE,1m,1145.00,1145.00,1142.50,1142.80,24030,1786699206903-0,md:candles:1m,1786699208603
1786699259999,ZYDUSLIFE,1m,1142.50,1142.70,1142.50,1142.60,456,1786699266262-0,md:candles:1m,1786699273120
1786699319999,ZYDUSLIFE,1m,1142.10,1142.40,1141.60,1142.40,986,1786699325387-0,md:candles:1m,1786699326703
1786699379999,ZYDUSLIFE,1m,1142.40,1142.40,1141.60,1142.30,2699,1786699388367-0,md:candles:1m,1786699391745
1786699439999,ZYDUSLIFE,1m,1141.70,1142.00,1141.70,1141.80,264,1786699446996-0,md:candles:1m,1786699457822
1786699499999,ZYDUSLIFE,1m,1141.80,1142.00,1141.60,1141.60,1357,1786699505310-0,md:candles:1m,1786699511111
1786699559999,ZYDUSLIFE,1m,1141.80,1141.80,1141.40,1141.80,1487,1786699568147-0,md:candles:1m,1786699576085
1786699619999,ZYDUSLIFE,1m,1142.00,1142.60,1141.30,1141.40,2343,1786699628216-0,md:candles:1m,1786699639246
1786699679999,ZYDUSLIFE,1m,1141.10,1141.40,1140.90,1141.40,2926,1786699689340-0,md:candles:1m,1786699689702
1786699739999,ZYDUSLIFE,1m,1141.10,1141.40,1141.10,1141.20,919,1786699748793-0,md:candles:1m,1786699754023
1786699799999,ZYDUSLIFE,1m,1140.90,1141.40,1140.80,1141.00,904,1786699806676-0,md:candles:1m,1786699807941
1786699859999,ZYDUSLIFE,1m,1140.90,1141.20,1140.70,1141.20,1970,1786699869539-0,md:candles:1m,1786699871843
1786699919999,ZYDUSLIFE,1m,1140.50,1140.50,1139.30,1139.60,7155,1786699926134-0,md:candles:1m,1786699936026
1786699979999,ZYDUSLIFE,1m,1139.50,1139.50,1138.80,1138.90,2817,1786699987315-0,md:candles:1m,1786699989617
1786700039999,ZYDUSLIFE,1m,1139.00,1140.40,1139.00,1140.40,6396,1786700047804-0,md:candles:1m,1786700051805
1786700099999,ZYDUSLIFE,1m,1140.20,1140.40,1139.50,1139.80,1608,1786700107415-0,md:candles:1m,1786700118244
1786700159999,ZYDUSLIFE,1m,1139.70,1139.70,1139.20,1139.40,4216,1786700166572-0,md:candles:1m,1786700171522
1786700219999,ZYDUSLIFE,1m,1139.20,1139.20,1138.40,1138.70,1986,1786700225312-0,md:candles:1m,1786700233604
1786700279999,ZYDUSLIFE,1m,1138.80,1138.80,1138.10,1138.60,4206,1786700291027-0,md:candles:1m,1786700298079
1786700339999,ZYDUSLIFE,1m,1138.80,1139.00,1138.30,1138.90,3759,1786700351049-0,md:candles:1m,1786700351053
1786700399999,ZYDUSLIFE,1m,1137.80,1139.00,1137.60,1138.60,7192,1786700410377-0,md:candles:1m,1786700412580
1786700459999,ZYDUSLIFE,1m,1138.20,1138.90,1138.20,1138.80,2936,1786700465462-0,md:candles:1m,1786700476026
1786700519999,ZYDUSLIFE,1m,1138.70,1139.40,1138.00,1138.50,4850,1786700527583-0,md:candles:1m,1786700529452
1786700579999,ZYDUSLIFE,1m,1138.50,1139.10,1137.70,1138.20,9144,1786700585174-0,md:candles:1m,1786700591306
1786700639999,ZYDUSLIFE,1m,1138.80,1139.10,1138.80,1138.80,1391,1786700645649-0,md:candles:1m,1786700653590
1786700699999,ZYDUSLIFE,1m,1139.00,1139.00,1136.10,1136.80,6190,1786700708348-0,md:candles:1m,1786700715149
1786700759999,ZYDUSLIFE,1m,1136.80,1136.80,1136.80,1136.80,11,1786701007515-0,md:candles:1m,1786701010481
1786701059999,ZYDUSLIFE,1m,1136.80,1136.80,1136.80,1136.80,2790,1786701069802-0,md:candles:1m,1786701071890
1786701119999,ZYDUSLIFE,1m,1136.80,1136.80,1136.80,1136.80,120,1786701132821-0,md:candles:1m,1786701137210
1786701179999,ZYDUSLIFE,1m,1136.80,1136.80,1136.80,1136.80,311,1786701186827-0,md:candles:1m,1786701191510
1786701239999,ZYDUSLIFE,1m,1136.80,1136.80,1136.80,1136.80,618,1786701253301-0,md:candles:1m,1786701260413
1786701299999,ZYDUSLIFE,1m,1136.80,1136.80,1136.80,1136.80,155,1786701315789-0,md:candles:1m,1786701324284
1786701359999,ZYDUSLIFE,1m,1136.80,1136.80,1136.80,1136.80,116,1786701375304-0,md:candles:1m,1786701379364
1786701419999,ZYDUSLIFE,1m,1136.80,1136.80,1136.80,1136.80,99,1786701434574-0,md:candles:1m,1786701443578
1786701479999,ZYDUSLIFE,1m,1136.80,1136.80,1136.80,1136.80,7,1786701519815-0,md:candles:1m,1786701529772
1786701539999,ZYDUSLIFE,1m,1135.20,1135.20,1135.20,1135.20,795408,1786702806846-0,md:candles:1m,1786702808525
1786702859999,ZYDUSLIFE,1m,1135.20,1135.20,1135.20,1135.20,233,1786702894745-0,md:candles:1m,1786702895641
1786702919999,ZYDUSLIFE,1m,1135.20,1135.20,1135.20,1135.20,1,1786702991744-0,md:candles:1m,1786703000545
1786703039999,ZYDUSLIFE,1m,1135.20,1135.20,1135.20,1135.20,21,1786703283761-0,md:candles:1m,1786703292463
1786703279999,ZYDUSLIFE,1m,1135.20,1135.20,1135.20,1135.20,1,1786703304385-0,md:candles:1m,1786703314394
1786699799999,ZYDUSLIFE,30m,1145.10,1145.50,1140.80,1141.00,48029,1786699869544-0,md:candles:30m,1786699872287
1786701599999,ZYDUSLIFE,30m,1140.90,1141.20,1135.20,1135.20,865451,1786702894750-0,md:candles:30m,1786702905661
1786699199999,ZYDUSLIFE,5m,1145.10,1145.50,1142.50,1142.80,33688,1786699266274-0,md:candles:5m,1786699276624
1786699499999,ZYDUSLIFE,5m,1142.50,1142.70,1141.60,1141.60,5762,1786699568151-0,md:candles:5m,1786699570970
1786699799999,ZYDUSLIFE,5m,1141.80,1142.60,1140.80,1141.00,8579,1786699869540-0,md:candles:5m,1786699880291
1786700099999,ZYDUSLIFE,5m,1140.90,1141.20,1138.80,1139.80,19946,1786700166576-0,md:candles:5m,1786700170829
1786700399999,ZYDUSLIFE,5m,1139.70,1139.70,1137.60,1138.60,21359,1786700465506-0,md:candles:5m,1786700471362
1786700699999,ZYDUSLIFE,5m,1138.20,1139.40,1136.10,1136.80,24511,1786701007518-0,md:candles:5m,1786701013188
1786700999999,ZYDUSLIFE,5m,1136.80,1136.80,1136.80,1136.80,11,1786701069814-0,md:candles:5m,1786701080800
1786701299999,ZYDUSLIFE,5m,1136.80,1136.80,1136.80,1136.80,3994,1786701375306-0,md:candles:5m,1786701379364
1786701599999,ZYDUSLIFE,5m,1136.80,1136.80,1135.20,1135.20,795630,1786702894749-0,md:candles:5m,1786702895643
1786703099999,ZYDUSLIFE,5m,1135.20,1135.20,1135.20,1135.20,255,1786703304387-0,md:candles:5m,1786703306386
